,stock,Date,avg,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,index,prev_label,prev_rate
0,AAL,20211209,0.08156111111111113,0.6786,0.0,0.6124,0.0,0.4404,0.0,0.0,0.0,-0.058533333333333326,-0.26335,0.3813,-0.1147,-0.036099999999999986,0.1426,0.0,0.10047499999999998,0.1357,0.0,0.87,0.0413,0.20413333333333336,0.0,0.0,-0.44115000000000004,AAL,False,-0.0049369256636223
1,AAPL,20211209,0.12090827679782905,0.131828,0.016632,-0.020727999999999996,-0.03178333333333333,0.19924615384615388,0.21482857142857142,0.12446666666666667,-0.10006190476190473,0.10304074074074075,0.10967045454545458,0.17172238805970153,0.16755762711864405,0.1447456140350877,0.18559032258064515,0.280545,0.08658703703703706,0.09543432835820893,0.17796410256410258,-0.19580000000000003,0.183525,-0.004741176470588232,0.11223636363636363,0.16585,0.1714142857142857,AAPL,False,-0.0029700951966102
2,ADBE,20211209,0.16551,-0.5994,0.0,0.6124,0.0,0.0,0.0,0.0,0.0,-0.05042,0.6613,0.296,0.31245,0.0,0.3592,0.0,0.0,0.2023,0.0,0.0,0.0,0.14049999999999999,0.0,0.0,0.0,ADBE,False,-0.0314346486436475
3,ADP,20211209,0.389,0.0,0.0,0.6124,0.0,0.0,0.0,0.0,0.0,0.6476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.296,0.0,0.0,0.0,ADP,False,-0.0066581200950694
4,ADSK,20211209,0.20367500000000002,0.0,0.0,0.0,0.2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ADSK,False,-0.0311990837547278
5,AKAM,20211209,-0.005999999999999998,0.0,0.0,0.0,0.2263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2263,0.0,0.0,0.0,0.0,0.0,0.2023,0.0,AKAM,False,-0.0009818853124176
6,AMAT,20211209,0.22788666666666665,0.33485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5791,0.0,0.13475,0.0,0.0,0.0386,0.0,0.3509333333333333,0.0,0.0,0.0,0.0,-0.4215,0.0,0.6124,0.0,AMAT,False,-0.0294996477061806
7,AMGN,20211209,0.368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4215,0.6486,0.0,0.0,0.0,0.0,0.0,0.4019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMGN,False,-0.0044958153915898
8,ATVI,20211209,0.2675,0.0,0.0,0.0,0.4404,0.0,0.0,0.5351,0.0,0.0,0.0,0.0,-0.057725,0.0,0.1531,0.0,0.26130000000000003,0.0,0.4215,0.0,0.8729999999999999,0.6486,0.0,0.0,0.3612,ATVI,False,-0.0033744012383123
9,AVGO,20211209,0.09084216867469878,0.0,0.0,0.0,0.7125,0.0,0.0,0.0,0.0,0.5044666666666666,0.4404,0.12498000000000001,0.0,0.0,0.3592,0.0,0.03725,0.08675,0.04188285714285714,0.0,0.042624999999999996,0.876,0.0,0.020079999999999997,0.0,AVGO,False,-0.0087332042098661
10,BBBY,20211209,0.27081818181818185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2577,0.0,0.0,0.0,0.0,0.6159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BBBY,False,-0.0046826303747761
11,BIDU,20211209,0.01362307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.128,0.0,0.1806,0.0,0.0,0.0,0.0,0.0,0.0,-0.34956666666666664,0.6124,0.1779,0.0,0.0,0.2023,0.0,BIDU,False,-0.0016114298407135
12,BMRN,20211209,0.2577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2577,0.0,0.0,BMRN,False,-0.0312287236095065
13,CERN,20211209,0.38612500000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46605,0.0,0.0,0.0,0.0,0.6124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CERN,False,-0.0006648327711727
14,CHKP,20211209,-0.069025,0.0,0.0,0.0,0.0,0.0,0.0,-0.069025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CHKP,False,-0.0045991716028278
15,CHTR,20211209,0.18733000000000002,0.0,0.0,0.6124,0.0,0.0,0.0,0.0,-0.3612,0.0,0.0,0.10115,0.0,0.8074,0.0,0.0,0.6124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CHTR,False,-0.0468796802182577
16,CMCSA,20211209,0.12937777777777779,0.0,0.0,0.0,0.0,0.1746,0.0,0.0,0.0,0.0,0.0,0.13975,0.0,-0.2143,0.0,0.0,0.0,0.2023,0.11987500000000001,0.0,0.4576,0.6124,0.0,0.0,0.0,CMCSA,False,-0.0230894418701776
17,COST,20211209,0.10997064220183483,0.0,0.0,0.0,0.7125,0.0,-0.07655,0.0,-0.11315,0.19794,0.0,0.11323333333333334,0.28345714285714285,0.0,0.0,0.0,0.06121666666666667,-0.008809523809523802,0.10250454545454547,0.16025,0.5392333333333333,0.3043333333333333,0.0,0.3155,0.3182,COST,False,-0.0109033378382517
18,CSCO,20211209,0.20588333333333333,0.0,0.0,0.0,0.0,0.4404,0.0,0.0,0.0,0.27276666666666666,0.30915000000000004,-0.038033333333333356,0.41950000000000004,0.6771,-0.6124,-0.028566666666666702,-0.6124,0.2023,0.2263,0.0,0.8531,0.33355999999999997,0.0,0.0,0.0,CSCO,True,0.0092949627331108
19,CSX,20211209,0.23624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4215,0.0,0.0,0.2023,0.0,0.0,0.2787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CSX,False,-0.0092016277555509
20,CTSH,20211209,0.50518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8102,0.0,CTSH,False,-0.0028318561127399
21,DISCK,20211209,0.6124,0.6124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DISCK,False,-0.0190228552820406
22,DISH,20211209,0.26259999999999994,0.0,0.0,0.6124,0.0,0.0,0.0,0.36197999999999997,0.0,-0.16075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DISH,False,-0.0040260472105691
23,DLTR,20211209,0.2543714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5267,0.0,0.0,0.0,0.1366,-0.508,0.0,0.0,0.0,0.0,0.0,0.0,0.481,0.0,0.0,0.0,0.0,DLTR,False,-0.0013705722766645
24,EA,20211209,0.51695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6124,0.0,0.4215,0.0,0.0,0.0,0.0,0.0,0.0,EA,False,-0.0108412021587859
25,EBAY,20211209,0.2206,0.0,0.0,0.0,0.0,0.0,0.0,0.4939,0.0,0.0,0.0,0.5319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0772,0.0,0.0,EBAY,False,-0.0083383733986337
26,ENDP,20211209,-0.074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENDP,False,-0.0608365318891634
27,EXPE,20211209,-0.005999999999999978,0.0,0.0,0.6124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3182,0.0,0.0,EXPE,False,-0.0153141098613343
28,FAST,20211209,0.3855813559322034,0.3802,0.38020000000000004,0.3802,0.38020000000000004,0.3982857142857143,0.3801999999999999,0.3802,0.44019,0.3801999999999999,0.40321818181818175,0.38020000000000004,0.38020000000000004,0.38020000000000004,0.3802,0.0,0.0,0.0,0.36197999999999997,0.0,0.0,0.0,0.0,0.0,0.0,FAST,False,-0.0009543114301425
29,FB,20211209,0.21432894736842104,0.0,0.0,0.2967,0.0,0.16313333333333332,0.14086666666666664,0.0,0.0,0.03550416666666666,0.20376,0.1555375,0.21554166666666666,0.14386428571428572,0.47182407407407423,0.10540454545454546,0.1901529411764706,0.11887500000000001,0.2776909090909091,-0.16076,0.09228888888888889,0.23681666666666668,0.19425,0.2942,0.16612,FB,False,-0.0022385958368838
30,FISV,20211209,0.513,0.6124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2023,0.0,0.0,0.0,0.0,0.61865,0.0,0.0,FISV,False,-0.0040403865442577
31,FOX,20211209,0.3070625,0.0,0.0,0.0,0.6249,0.0,0.6249,0.0,0.0,0.0,0.2732,0.6249,0.25,0.0,0.0,0.0,-0.5106,0.0,0.0,0.0,0.0,0.296,0.0,0.0,0.0,FOX,False,-0.0037922187294965
32,FOXA,20211209,0.4404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4404,0.0,0.0,0.0,0.0,0.0,0.0,FOXA,False,-0.005714260801977
33,GILD,20211209,0.3050727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4930666666666667,0.0,0.8306,0.0,0.0,0.0,-0.21075,0.0,0.0,0.0,0.6369,0.0,0.8306,0.0,0.0,GILD,True,0.0084636920819666
34,GOOG,20211209,0.10448536585365854,0.0,0.4019,0.0,0.0,0.0,0.0,0.0,0.1779,0.028642857142857144,0.1591,0.09866666666666667,0.0,0.05993999999999999,0.0,0.0,0.17975,0.148,0.06776666666666667,0.0,0.0,0.296,0.0,0.0,0.296,GOOG,False,-0.0041318430495544
35,HSIC,20211209,0.41169999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4215,0.0,0.0,0.0,0.0,0.0,0.0,HSIC,True,0.0097294864562229
