,stock,Date,avg,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,index,prev_label,prev_rate
0,AAL,20211213,0.14317333333333335,0.0,0.6786,0.0,0.0,0.0,0.0,0.4404,-0.2263,0.0,0.0,0.0,0.5582,-0.037275,0.4404,0.0,0.4466,0.0,-0.2997,0,0,0,0,0,0,AAL,False,-0.0494169560431867
1,AAPL,20211213,0.11075665566556654,-0.0038846153846153883,0.12714999999999999,0.1767166666666667,0.05098235294117647,0.07111739130434783,0.0695551724137931,0.17088611111111113,0.20720408163265308,0.09962409638554215,0.06990173913043479,0.07360537634408602,0.14921774193548387,0.15170641025641027,0.23294090909090912,0.08330652173913045,0.09209545454545454,0.09295769230769231,0.07322222222222222,0,0,0,0,0,0,AAPL,False,-0.0206742352642568
2,ADBE,20211213,0.15953846153846157,0.0,0.0193,0.0,0.0,0.0,0.0,0.0,0.0,-0.0086,0.0191,0.4926,0.37693333333333334,0.0,0.0,0.0,0.68745,-0.0258,0.0,0,0,0,0,0,0,ADBE,True,0.0058827649386911
3,ADP,20211213,0.148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,ADP,False,-0.0072233831197556
4,ADSK,20211213,-0.011999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2263,0.0,0.0,0.0,0.0,0.0,0.2023,0.0,0,0,0,0,0,0,ADSK,False,-0.0004460785025557
5,AKAM,20211213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,AKAM,True,0.021237071768088
6,AMAT,20211213,0.13570000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5106,0.0,0.4019,0.0,0.0,0.0,0.0,0.9345,0.0,-0.34426666666666667,0,0,0,0,0,0,AMAT,False,-0.0368623700747493
7,AMGN,20211213,0.5819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.296,0.0,0.0,0.7184,0.0,0.6317,0.0,0.0,0,0,0,0,0,0,AMGN,True,0.0023709042697476
8,ATVI,20211213,0.11568333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6808,0.0,0.68745,0.0,0.0,0,0,0,0,0,0,ATVI,True,0.0017065237444079
9,AVGO,20211213,0.219508,0.0,0.0,0.8779,0.8779,0.367475,0.0,0.0,-0.03771666666666667,0.09732000000000002,-0.25,0.5106,0.296,0.0,0.0,0.0,0.9345,0.0,0.5106,0,0,0,0,0,0,AVGO,False,-0.0158624931095338
