,stock,Date,avg,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,index,prev_label,prev_rate
0,AAL,20211202,0.25594999999999996,0.4404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48699999999999993,0.14994285714285716,0.2023,-0.003599999999999992,0.0,0.0,0.0,0,AAL,True,0.0700245295802462
1,AAPL,20211202,0.09316555023923444,0.13531818181818184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08280746268656718,0.08159428571428574,0.14029545454545458,0.011800000000000007,0.24420000000000003,-0.03574615384615383,0.18942941176470587,0,AAPL,False,-0.0061298157397317
2,ADBE,20211202,0.27893333333333337,0.5994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12625,0.5106,0.0,0.296,0.2997,0.0,0.0,0,ADBE,True,0.0220106665998205
3,ADP,20211202,0.4082666666666667,0.6124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6124,0.0,0.0,0.0,0.0,0.0,0.0,0,ADP,True,0.0245074169271339
4,ADSK,20211202,0.3671,0.5994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.2172,0.0,0.40085000000000004,0.0,0.0,0,ADSK,True,0.0319609549039456
5,AMAT,20211202,-0.14221,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.05005999999999999,-0.5859,0.0,0.0,0.0,0.0,0.0,0,AMAT,False,-0.0341530476581878
6,AMGN,20211202,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,AMGN,True,0.0018426051372724
7,ATVI,20211202,0.1978,0.20505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4404,0.12765,0.2715666666666667,0.0,0.0,0.0,0.0,0,ATVI,True,0.0001746183038342
8,AVGO,20211202,0.1973666666666667,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4215,0.08530000000000001,0.0,0.0,0.0,0.0,0.0,0,AVGO,False,-0.0041639583205892
9,BBBY,20211202,0.11624999999999999,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.11624999999999999,0.0,0.0,0,BBBY,True,0.0607831076025509
10,BIDU,20211202,-0.04107142857142855,0.6124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.189925,-0.5859,-0.126,0.0,0.0,0.2577,0.0,0,BIDU,True,0.000873512606417
11,CERN,20211202,0.4215,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4215,0.0,0.0,0.0,0.0,0.0,0.0,0,CERN,True,0.0265676411026561
12,CHTR,20211202,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,CHTR,True,0.0570798037058598
13,CMCSA,20211202,0.17020000000000002,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.5106,0.0,0.0,0.0,0.0,0.0,0,CMCSA,True,0.0493072143166484
14,COST,20211202,0.05806,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.10115,0.0,0.0,0.0,0.4926,0.0,0.0,0,COST,False,-0.0081723102641788
15,CSCO,20211202,0.043579999999999994,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.019525,0.0,0.0,0.296,0.0,0.0,0.0,0,CSCO,True,0.0203525853430219
16,CSX,20211202,0.0386,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0772,0.0,0.0,0.0,0.0,0.0,0,CSX,True,0.0328107175718321
17,DISCA,20211202,0.1741,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.26115,0.0,0.0,0.0,0.0,0.0,0,DISCA,True,0.0444743827914998
18,DISH,20211202,0.5106,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5106,0.0,0.0,0.0,0.0,0.0,0.0,0,DISH,True,0.0209493064805277
19,DLTR,20211202,0.45855,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.2263,0.0,0.0,0.0,0.0,0.6908,0,DLTR,True,0.0168174632344902
20,EA,20211202,0.4767,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.4767,0.0,0.0,0.0,0,EA,True,0.0196289854035085
21,EBAY,20211202,0.06851111111111112,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.6166,0.0,0.0,0.0,0.0,0,EBAY,True,0.0100285260114286
22,EXPE,20211202,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,EXPE,True,0.0361042977320417
23,FAST,20211202,0.4498,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.296,0.5267,0.0,0.0,0.0,0.0,0,FAST,True,0.0203522935157324
24,FB,20211202,0.1545416666666667,0.2683666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0024190476190476275,0.11884444444444443,0.08879999999999999,0.17454666666666666,0.35703333333333337,0.2909,0.33748,0,FB,False,-0.000676083229078
25,FISV,20211202,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,FISV,True,0.0451072466869425
26,GILD,20211202,0.2367285714285714,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.1779,0.0,0.0,0.0,0.7396,0.0,0,GILD,True,0.0107354977584987
27,GOOG,20211202,-0.003964999999999998,-0.4648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10115,0.17264,0.0,-0.14705000000000001,0.0,0.0,0.0,0,GOOG,True,0.0152416784016545
28,ILMN,20211202,0.5106,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.5106,0.0,0.0,0.0,0.0,0.0,0,ILMN,False,-0.0005032507798979
29,INCT,20211202,0.12612,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4404,0.5514,-0.12040000000000001,0.0,0.0,0.0,0.0,0,INCT,True,0.500000109139367
30,INCY,20211202,0.10115,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.2023,0.0,0.0,0,INCY,True,0.025708100253722
31,INTU,20211202,0.25645,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4404,0.2263,0.6662,-0.3071,0.0,0.0,0.0,0,INTU,True,0.0123966022792317
32,JD,20211202,-0.08270999999999999,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.18860000000000002,-0.050575,0.0,0.3182,0.0,0.0,0.0,0,JD,False,-0.0084527027250946
33,KHC,20211202,0.6124,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.6124,0.0,0,KHC,True,0.011253008511717
34,LRCX,20211202,0.18772000000000003,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.5106,-0.5859,0.1779,0.0,0.836,0.0,0,LRCX,False,-0.0461551892685567
35,MAR,20211202,0.5267,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.5267,0.0,0.0,0.0,0,MAR,True,0.0604911938048245
36,MDLZ,20211202,0.2023,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.2023,0.0,0.0,0,MDLZ,True,0.0153688130135892
37,MNST,20211202,0.5654,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8481,0.0,0.0,0.0,0.0,0.0,0.0,0,MNST,True,0.0234394471145339
38,MSFT,20211202,0.1339156862745098,-0.21328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19334375,0.13557999999999998,0.07955,0.0373,0.2739,0.5934,0.0,0,MSFT,False,-0.0017874344458671
39,MU,20211202,0.24069444444444443,0.36665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15098750000000002,0.4253,0.0,0.47740000000000005,0.1953,0.0,0.0,0,MU,False,-0.0266588870438368
40,NCLH,20211202,0.02732,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6037,0.05666666666666667,0.0,-0.6705,0.0,0.0,0.0,0,NCLH,True,0.0770094919269516
41,NFLX,20211202,0.06346153846153847,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3026,-0.023966666666666674,-0.4028,0.0023999999999999855,-0.11983333333333333,0.0,0.0,0,NFLX,False,-0.0021044220130841
42,NTAP,20211202,0.2143,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.2263,0.0,0.0,0.2023,0.0,0.0,0,NTAP,True,0.0080483034660358
43,NTES,20211202,0.1591,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.3182,0.0,0.0,0.0,0,NTES,False,-0.0388158164086915
44,NVDA,20211202,0.11374196428571427,0.6080666666666668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08835102040816326,0.14919999999999997,0.10916000000000001,0.06967857142857144,0.09734545454545453,0.0026285714285714246,0.2398,0,NVDA,True,0.0219818785682921
45,NXPI,20211202,0.76815,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7003,0.0,0.836,0.0,0.0,0.0,0.0,0,NXPI,False,-0.0012107814908562
46,ORLY,20211202,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,ORLY,True,0.0323679769884977
47,PAYX,20211202,0.3524,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.3524,0.0,0.0,0.0,0.0,0,PAYX,True,0.024193534807201
48,PYPL,20211202,0.27898909090909096,-0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34885000000000005,0.20851818181818185,0.0491,0.36838571428571426,0.0,0.56968,0.3197,0,PYPL,True,0.0436648798374665
49,QCOM,20211202,0.04648666666666666,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.17,0.0,-0.2412,0.464925,0.0,0.0,0,QCOM,True,0.0079712683343515
50,REGN,20211202,0.4485571428571428,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3848833333333333,0.8306,0.0,0.0,0.0,0.0,0.0,0,REGN,True,0.0054075913022849
51,ROST,20211202,0.6124,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.6124,0,ROST,True,0.0542576014397708
