,stock,Date,avg,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,index,prev_label,prev_rate
0,AAL,20211207,0.11939821428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AAL,False,-0.0022309489596493
1,AAPL,20211207,0.0737490909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AAPL,True,0.0354463167913496
2,ADBE,20211207,0.12385714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ADBE,True,0.0448846455719043
3,ADP,20211207,0.148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ADP,True,0.0126184667229923
4,ADSK,20211207,0.23977999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ADSK,True,0.0419491442643937
5,AKAM,20211207,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AKAM,True,0.0109859843114095
6,AMAT,20211207,0.24620384615384616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AMAT,True,0.0645270334629022
7,AMGN,20211207,-0.07224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AMGN,True,0.0121175061997282
8,ATVI,20211207,0.27786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ATVI,True,0.0117059787121637
9,AVGO,20211207,0.343925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AVGO,True,0.0449928224434113
10,BBBY,20211207,0.2403111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BBBY,True,0.0301399067945035
11,BIDU,20211207,0.14902500000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BIDU,True,0.0151710503607233
12,CHKP,20211207,-0.357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHKP,False,-0.0125578557894928
13,CHTR,20211207,-0.05554000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHTR,False,-0.0332120309319763
14,CMCSA,20211207,0.14742857142857144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CMCSA,False,-0.0529130224222592
15,COST,20211207,0.25946956521739134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,COST,True,0.0165416487664934
16,CSCO,20211207,0.206235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CSCO,True,0.0196629698838486
17,CSX,20211207,0.09731666666666668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CSX,True,0.0089771992960451
18,CTSH,20211207,0.22916363636363635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTSH,True,0.0090435544660501
19,DISCA,20211207,0.1531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DISCA,False,-0.007377061802865
20,DISH,20211207,-0.3991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DISH,False,-0.0031026520490653
21,DLTR,20211207,-0.035525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DLTR,True,0.0012335692036641
22,EA,20211207,0.126775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EA,False,-0.001266693340253
23,EBAY,20211207,0.16228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EBAY,True,0.017557191879331
24,EXPE,20211207,0.12765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EXPE,True,0.0030107784545577
25,FAST,20211207,0.3245494845360824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FAST,True,0.019516114265688
26,FB,20211207,0.12188495145631068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FB,True,0.0155409523304804
27,FISV,20211207,0.17994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FISV,True,0.0
28,FOX,20211207,0.3015277777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FOX,True,0.0008845104838952
29,GILD,20211207,0.36675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GILD,True,0.0021582953363871
30,GOOG,20211207,0.09071891891891891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GOOG,True,0.0294861317360918
31,HSIC,20211207,0.10115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HSIC,True,0.0231856558589333
32,ILMN,20211207,0.16194999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ILMN,True,0.0505616353985514
33,INCT,20211207,0.3398833333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INCT,True,0.0
34,INTU,20211207,0.2937166666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INTU,True,0.0433259363652674
35,JD,20211207,0.17081176470588236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JD,True,0.0385688762112259
36,KHC,20211207,0.5338833333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KHC,True,0.0070031473756563
37,LBTYA,20211207,0.22111999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LBTYA,False,-0.0162631283591859
38,LRCX,20211207,0.36610909090909094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LRCX,True,0.0578075783399253
39,MAR,20211207,0.16215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MAR,False,-0.0010848638944228
40,MAT,20211207,-0.015234615384615378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MAT,True,0.0126050633427629
41,MDLZ,20211207,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MDLZ,False,-0.0001627860929871
42,MNST,20211207,0.4478454545454546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MNST,True,0.0310349281358382
43,MSFT,20211207,0.12937943262411347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MSFT,True,0.0267635762009484
