,stock,Date,avg,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,index,prev_label,prev_rate
0,AAL,20211203,0.11789999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AAL,False,-0.0459241810308157
1,AAPL,20211203,0.09105881057268722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AAPL,False,-0.0117244640531858
2,ADBE,20211203,0.11099655172413794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ADBE,False,-0.0823807453469187
3,ADSK,20211203,0.15325000000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ADSK,True,0.0052782167671857
4,AMAT,20211203,0.047430769230769235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AMAT,False,-0.0045054518216956
5,AMGN,20211203,0.18668709677419354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AMGN,True,0.0063130898445123
6,ATVI,20211203,0.08015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ATVI,True,0.0012218483802685
7,AVGO,20211203,-0.1392181818181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AVGO,True,0.0102633410894584
8,BBBY,20211203,0.09442222222222223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BBBY,False,-0.0159779071225233
9,BIDU,20211203,-0.008114285714285704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BIDU,False,-0.0776719038852034
10,BMRN,20211203,0.3308333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BMRN,False,-0.0204298931353198
11,CERN,20211203,0.3818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CERN,False,-0.0027828658688374
12,CHTR,20211203,0.2264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHTR,True,0.0132756012153861
13,CMCSA,20211203,0.2022941176470588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CMCSA,True,0.0054368695009101
14,COST,20211203,0.12823939393939393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,COST,True,0.0065079310509833
15,CSCO,20211203,0.2030076923076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CSCO,True,0.0014247197539353
16,CSX,20211203,0.35222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CSX,True,0.0075906792263189
17,CTSH,20211203,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTSH,False,-0.011456674538752
18,DISCA,20211203,-0.06697777777777777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DISCA,True,0.0318279471448672
19,DISCK,20211203,0.31139999999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DISCK,True,0.023378945075511
20,DISH,20211203,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DISH,True,0.0012824305063744
21,DLTR,20211203,0.248225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DLTR,True,0.0163909473044975
22,EA,20211203,0.22501176470588233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EA,True,0.0218614926603716
23,EBAY,20211203,0.08021538461538463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EBAY,False,-0.0063722626524083
24,ENDP,20211203,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ENDP,False,-0.0549243233270083
25,EXPE,20211203,-0.007849999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EXPE,False,-0.0353422432501523
26,FAST,20211203,0.4797719298245613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FAST,True,0.0078779956739056
27,FB,20211203,0.1422417670682731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FB,False,-0.0114372825896728
28,FISV,20211203,0.24925000000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FISV,True,0.0064089664103416
29,FOX,20211203,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FOX,True,0.0191431501378379
30,FOXA,20211203,0.6486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FOXA,True,0.0200962085387885
31,GILD,20211203,0.5080571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GILD,False,-0.0015788806264185
32,GOOG,20211203,-0.0010586206896551688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GOOG,False,-0.0087358215464862
33,ILMN,20211203,0.24563333333333337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ILMN,False,-0.0285330980573941
