,index,Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,avg,prev_label,prev_rate,label
0,MU,2016-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16184736842105268,0.06612075471698113,0.1162108108108108,0.14060714285714285,0.05345897435897437,-0.0722608695652174,0.08246470588235294,-0.04525833333333334,0.1223578947368421,-0.11398333333333333,0.1665,0.20553333333333332,0.037123674483249255,True,0.015518898244434408,True
1,MU,2016-04-04,0.31570000000000004,0.0,0.6124,0.51695,0.06534999999999999,0.0,0.4939,0.0,-0.05103333333333334,0.16438333333333335,-0.3182,0.0,0.007755555555555553,0.0,0.15118333333333334,-0.004063636363636366,-0.11949090909090908,-0.0882,0.0,0.2388631578947369,-0.06406,0.0,0.2732,0.25405,0.17903832972746989,False,-0.023508157234848157,False
2,MU,2016-04-05,0.0,0.0,0.2023,-0.04400000000000001,0.1405,0.0,0.1366,0.14800000000000002,0.0,0.27696666666666664,0.30506666666666665,0.07415,0.25532,0.04166666666666666,0.09486666666666667,0.3104307692307693,0.11067142857142856,-0.17,-0.056575,0.21833333333333332,0.09866666666666668,0.4167,0.0,0.12266666666666665,0.16131808979423945,False,-0.02163692318292523,True
3,MU,2016-04-06,0.2937666666666667,0.0,0.17,0.0,0.0,0.0,-0.31245,0.0,0.19375,-0.14800000000000002,-0.005940000000000001,0.0,0.32985,0.0,0.1454857142857143,0.287025,0.0903,-0.31552,0.0,0.0,0.0,0.3182,0.0,0.6427499999999999,-0.001380958645652881,True,0.004798482760918245,True
4,MU,2016-04-07,0.03558,0.3931,0.28255,0.7351,0.105375,0.0,0.0,0.1779,0.0,0.0,0.0,0.0,-0.016,0.21075,0.021444444444444447,0.14012000000000002,0.0,0.0172,0.39399999999999996,0.03423333333333333,0.24222,0.09866666666666668,0.0,0.0,0.1867376185522621,True,0.00863725066496377,True
5,MU,2016-04-11,0.0,0.4246,0.0,0.0,0.0,0.0,0.0,-0.5859,0.23896666666666666,0.0508,0.3079000000000001,0.055536363636363634,0.07990000000000001,0.16768333333333332,-0.0652,0.49876,0.047825000000000006,0.12193333333333335,0.316,0.2325888888888889,-0.004476470588235291,0.1693,0.042742857142857145,0.14136923076923075,-0.07236450079574804,False,-0.027906994486964026,False
6,MU,2016-04-12,0.0632,0.44505,0.2033809523809524,0.1814,-0.6486,0.0,-0.7845,0.0,0.0,0.3753,0.0,-0.5719,-0.30315,0.0,0.0020333333333333683,0.026644444444444446,0.08403999999999999,0.14454285714285714,0.2343941176470589,0.0554,-0.0420375,0.06034705882352941,0.1231,0.09213636363636364,-0.0482259401562406,False,-0.03235015653506462,True
7,MU,2016-04-13,0.17086666666666664,0.04628,0.08101818181818182,-0.03989090909090909,0.1341,0.17324166666666665,0.4012,0.7269,0.0,-0.08788333333333335,-0.12765,-0.3034,0.04325999999999999,0.2449833333333333,-0.07253333333333335,0.08270000000000001,-0.06554999999999997,0.068025,0.264,0.0,0.412,0.02711428571428573,-0.4324,0.0,0.04184416551005058,True,0.056310671161713254,False
8,MU,2016-04-14,0.6314500000000001,-0.0258,0.25654,0.0,0.0,0.487325,0.17,0.0,0.1589,0.4939,0.26165000000000005,0.32152,0.6249,0.3133444444444444,-0.11448749999999998,0.1319857142857143,0.0,-0.113725,0.0935,0.0,0.020349999999999983,0.12247999999999999,0.4019,0.10823333333333332,0.22479312832011727,False,-0.036144610259644244,False
9,MU,2016-04-18,0.15012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21075,0.32273333333333337,0.16463333333333333,0.0129,0.11900000000000001,0.0,0.0636909090909091,-0.04243333333333333,0.012025000000000004,0.03950000000000003,0.0755,0.14538,0.0,0.05476000000000002,0.07400000000000001,0.2408,0.06823772680171389,True,0.02445909934926756,False
10,MU,2016-04-19,0.13486666666666666,0.06743333333333333,-0.3182,0.0,0.2382,0.0,0.0,0.0,0.11881666666666668,0.0,0.0,0.0,0.0683,0.15454,0.1436111111111111,0.3333107142857142,-0.10606666666666666,-0.01544,0.0,0.305,-0.02624000000000001,0.5483333333333333,0.0,0.0,0.032145102765883234,False,-0.03249094396715811,True
11,MU,2016-04-20,0.16713333333333336,0.0506,0.0,0.1405,-0.23865,0.0,0.2294,0.0,0.0,0.0,0.29600000000000004,0.0,0.0,-0.16076,0.18765,0.29600000000000004,0.07224,0.0,0.0,0.0,0.0,0.14800000000000002,0.0,0.0,0.017954192111392767,True,0.011288794380732083,False
12,MU,2016-04-21,0.0,0.0,0.0,0.4404,0.061720000000000004,0.10653333333333333,0.4939,0.235125,0.4466,0.0,0.0,0.8225,0.7003,0.7096,0.0,0.08400000000000002,-0.092,-0.07713333333333335,0.05920000000000001,-0.016424999999999995,0.2612333333333333,0.0,0.19733333333333336,-0.4215,0.030670505475191037,False,-0.013888941625507821,False
13,MU,2016-04-25,0.34,0.0,0.6369,0.0,0.0,0.29600000000000004,-0.04108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15568333333333334,0.0,-0.4019,0.24484,0.0,0.19733333333333336,0.20095,0.0,0.0772,0.0,0.08247531824243179,False,-0.01124647466738916,True
14,MU,2016-04-26,0.0,0.28495000000000004,0.2373,0.7906,0.4466,0.0,0.2121333333333333,0.1582,0.0,0.0,0.0,0.0,0.12154444444444445,0.11102424242424244,0.1479272727272727,0.1313703703703704,0.2179823529411765,0.3467300000000001,0.14322,-0.07517,0.17724285714285712,0.09361764705882353,0.06435,0.20046666666666665,0.13011000820770582,True,0.0637708459814171,True
15,MU,2016-04-27,-0.25346,0.0,-0.053475,-0.061114285714285725,0.07400000000000001,0.059475,0.24695,0.4939,0.0,0.0,0.2286142857142857,-0.2139,0.09595,0.028428571428571418,0.07135714285714287,0.10215714285714284,0.46525,0.27378,0.0,0.042285714285714295,0.05826666666666665,0.7506,0.0,0.4215,0.032089164054907644,True,0.01940037602015398,True
16,MU,2016-04-28,0.17770999999999998,0.25955,0.0512625,0.0,0.0,-0.24695,0.0,0.0,0.1166,-0.2732,0.0,0.3716,0.0,0.20446875,0.1549095238095238,0.11072765957446808,0.09371538461538463,0.018285714285714287,0.08611428571428571,0.008966666666666678,0.07400000000000001,0.22266,0.2245875,0.22463333333333332,0.10001375633081674,True,0.007805737612510464,False
17,MU,2016-05-02,0.29600000000000004,0.2369833333333333,0.2269333333333333,0.5659333333333333,0.0,0.0,0.0,0.7506,-0.23564,0.24635,0.0,0.336325,-0.013800000000000008,0.5237,0.3779666666666667,0.2023,-0.5139666666666667,-0.20095,-0.05077500000000002,0.0,0.0,0.0,0.0,0.0,0.3124061858431809,False,-0.01666669462933903,False
18,MU,2016-05-03,-0.2936,0.25020000000000003,0.0,0.0,0.4404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4939,0.35366666666666663,-0.04421666666666665,0.18076666666666666,0.4538,0.20385,0.6124,0.0,0.0,0.0,0.4576,0.3600130378655945,False,-0.0123927661846899,False
19,MU,2016-05-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03655,0.40453333333333336,0.0,0.4404,-0.02694999999999997,0.10115,-0.3587,0.2986666666666667,0.0,0.09106666666666667,0.29849000000000003,0.1147,0.004905555555555554,0.46063000000000004,0.07118333333333332,0.09866666666666668,0.12118333333333335,0.09827392325018768,False,-0.024390243902439025,False
20,MU,2016-05-05,0.4576,0.0,-0.085,0.0,0.0,0.0,0.3382,-0.10115,0.0,0.0,0.4927,0.0,0.020525,0.38206363636363627,0.19397999999999999,0.20263333333333336,0.0,-0.06508,0.58035,0.0,-0.5267,-0.20095,0.0,0.7096,0.15057179068711787,False,0.0,True
21,MU,2016-05-09,0.0,0.0,-0.5106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5994,0.15946666666666667,0.6482,0.5427714285714286,0.09772500000000002,0.0,-0.0736,0.0,0.3182,0.09866666666666668,0.2936,-0.07955,0.3083,0.0,0.13609576876571305,False,-0.013000011444091797,True
22,MU,2016-05-10,0.0,0.0,0.3753,0.0,0.0,0.4010666666666667,0.0,0.0258,0.0,0.0,0.0,-0.26233333333333336,0.0,-0.20095,0.32775,0.37745,0.0,0.0,0.31065,0.0,0.7717,0.14959999999999998,-0.5004000000000001,0.0,0.09924045861849796,True,0.015090601462460586,True
23,MU,2016-05-11,0.0,0.0,-0.2679333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3753,0.0,0.0,0.0,0.17361250000000006,0.4019,0.10478750000000002,0.0,-0.1998,0.0,0.13555999999999999,0.0,0.0,0.045255573215765885,True,0.007984023957211433,False
24,MU,2016-05-12,0.0,0.6369,0.0,0.0,0.0,0.10606666666666666,0.05695,0.1139,0.0,0.0,0.0,-0.3996,0.3182,-0.12696,-0.042999999999999976,-0.0066416666666666655,0.1067777777777778,-0.027375,0.03764999999999999,0.1203,-0.09118,0.12964,-0.1468,0.3406,0.01465282957083309,False,-0.05123148016084869,False
25,MU,2016-05-16,0.0,0.1935,0.0,0.5601333333333333,0.0,0.0,0.0,0.0,0.29600000000000004,0.1027,0.0,0.6037,0.0129,0.50165,-0.04013333333333333,0.33033333333333337,0.0,0.19846666666666668,0.31707500000000005,0.0,0.29600000000000004,0.0,0.0,0.0,0.11535702975994168,True,0.007284146826154706,True
26,MU,2016-05-17,0.0,0.0762,0.0762,0.17556666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1204,0.049940000000000005,0.0,0.22876,0.167475,0.0623,0.0618,0.1199,-0.0061125,0.0,0.175075,-0.03423333333333333,0.16635000000000005,0.081538236461907,True,0.0020725863786838403,True
27,MU,2016-05-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08895,0.0,0.23343750000000005,0.4753357142857144,0.27797000000000005,0.2408,0.20294285714285712,0.018299999999999983,0.21075,0.0,0.0,0.0,0.29600000000000004,0.20040530001183485,True,0.03822312746842057,True
28,MU,2016-05-19,-0.07546666666666664,0.1357,0.09590000000000004,0.048133333333333334,0.4111,0.14800000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.7184,0.13290000000000002,0.29595000000000005,0.11384,0.13638333333333333,-0.229825,0.013933333333333315,-0.1858,0.2453333333333333,0.0,0.24835,0.3402,0.2489520755986216,True,0.006999969482422053,True
29,MU,2016-05-23,0.0,0.0,0.0,0.0,0.0,0.0,0.18765,0.3612,0.6557,0.0,0.4588,0.368,0.0,0.3947111111111112,0.24421578947368425,0.1793375,-0.0001571428571428557,-0.08787777777777778,0.08762500000000001,0.2511625,0.2481142857142857,0.28804,0.2935,0.0747875,0.3022192233225217,True,0.02767529395866684,True
30,MU,2016-05-24,-0.1366,0.0,0.0,0.2553,0.0,0.08333333333333333,0.0,0.0,0.4404,0.0,0.0,0.55986,0.0,0.3793,0.22338000000000005,0.11037142857142856,0.15821000000000002,0.2330375,0.12498,0.21944285714285716,-0.043346153846153854,0.10356666666666664,0.03287499999999999,0.5106,0.128402869158313,True,0.015915061434415498,True
31,MU,2016-05-25,0.14800000000000002,0.54055,-0.128575,0.0,0.0,0.021000000000000005,0.0,0.6369,0.0,0.0,0.2196,0.35615,0.110725,0.104875,0.1456333333333333,-0.2114,0.0,0.10508,-0.14286666666666667,0.24532000000000004,-0.1027,0.0,0.5285,-0.3914,0.10536077390435544,True,0.0008628325064864664,True
32,MU,2016-05-26,0.0,0.20095,0.43223999999999996,0.2732,0.0,-0.064,0.0,0.0,0.7184,0.0,0.0,0.4771000000000001,0.31936,-0.24560000000000004,0.3488666666666667,0.2023,0.2864285714285714,0.03968333333333333,0.16917272727272728,0.15714615384615385,-0.11840000000000002,0.449725,-0.5574,0.5256,0.1566968949331896,True,0.020495283547081918,True
33,MU,2016-05-31,0.0,0.0,0.0,-0.2553,-0.026549999999999963,0.10450000000000004,0.0,0.0,0.0,0.19866666666666666,0.050575,0.03559285714285715,0.11552702702702702,0.04764528301886793,0.1664529411764706,0.13031666666666664,0.10806451612903224,0.03353181818181818,0.01874000000000001,0.3196555555555556,0.12964545454545456,0.09071666666666668,0.014919999999999994,0.09891666666666668,0.09408384993809413,True,0.004739369695092249,True
34,MU,2016-06-01,0.1190142857142857,0.1702,0.57484,0.0,0.07142857142857142,-0.027776923076923074,0.2187,0.2788,0.0,0.2023,-0.101125,0.2566285714285715,0.1814428571428572,0.19531428571428566,0.10535,0.25018333333333337,0.17020000000000002,0.09511818181818182,0.1781142857142857,0.035922222222222217,0.2141,0.0,0.10543333333333334,0.0,0.19710061001612986,True,0.03806506811889376,True
35,MU,2016-06-02,0.0,0.12765,0.0,0.0,0.17556666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.4871999999999999,0.20506666666666676,0.2436833333333333,0.24637000000000006,0.1042777777777778,0.03125,-0.07048888888888888,0.04933333333333334,-0.0625125,0.13396666666666665,-0.10113333333333334,-0.17673333333333333,0.18765,0.03761720338808311,True,0.012355200754337986,False
36,MU,2016-06-06,0.1082,0.0,-0.34,0.06465,0.4648,0.301425,0.0,0.0,0.0,0.0,0.173275,0.2966,0.0,0.06342727272727272,0.3066111111111112,0.25,0.25011666666666665,0.4911,0.4361,0.05920000000000001,0.6681,0.09916666666666668,0.17345000000000002,0.0,0.22239991481118307,False,-0.00930953315460894,True
37,MU,2016-06-07,-0.5106,0.0,0.2083,0.2906,0.6166,0.11840000000000002,0.7574,0.0,0.0,0.0,0.0,0.2956833333333333,0.633775,0.17668888888888892,0.1257888888888889,0.0,0.00473333333333333,-0.24348000000000003,-0.04862857142857142,-0.07597142857142858,0.1127,0.2288,0.0,0.0,-0.03615850314936312,True,0.01325020088112669,False
38,MU,2016-06-08,0.0,0.5247999999999999,0.3083,0.0,0.7506,0.0,0.25,0.0,0.0,0.0,-0.01892857142857143,0.0828857142857143,-0.03232857142857143,0.07355999999999999,0.042285714285714295,-0.09255,-0.15380000000000002,0.0,-0.20063333333333333,-0.2263,0.11165,0.0,0.15494000000000002,0.0,0.034622937918168804,False,-0.03822629991715866,True
39,MU,2016-06-09,0.0,0.0,-0.07689999999999997,0.0,-0.1591,0.05624000000000001,-0.19063333333333327,0.06743333333333333,0.0,0.0,0.17357999999999998,-0.16035000000000002,0.05920000000000001,-0.0408625,-0.02580833333333333,-0.07788999999999999,0.2961571428571429,0.2703333333333333,0.16315000000000002,0.27815,-0.20687500000000006,0.0,0.0,0.6341,0.009981906610816995,True,0.003207695348555097,False
40,MU,2016-06-13,0.0,0.4215,0.0,0.4055,0.0,0.0,0.0,0.0,0.21075,0.0,0.0,0.0,0.0,0.0307,0.14800000000000002,-0.24038571428571426,-0.40525,0.19733333333333336,0.31065,-0.4139000000000001,0.0,-0.0772,0.0,0.0,-0.05660267455141661,True,0.004166682561238755,False
41,ILMN,2016-03-28,0.0,0.2023,0.0,0.0,0.3182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.064,0.0,0.0,0.25,0.0,0.0,0.0,-0.2235,0.0,0.0,0.0,0.017348800588413874,False,-0.028357937240253654,True
42,ILMN,2016-03-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6476,0.0,0.0,-0.2531075822702108,True,0.030901500921463886,False
43,ILMN,2016-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.6633,0.0,0.0,0.5636000000000001,0.0,0.5106,0.1591,0.6408,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.09299644770228363,False,-0.009625150814443591,True
44,ILMN,2016-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09866666666666668,0.0,-0.1068,-0.2732,-0.29600000000000004,0.0,-0.14800000000000002,0.0,0.0,0.0,0.0,0.0,-0.06666878160111217,True,0.0263374722537826,True
45,ILMN,2016-04-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4939,0.0,0.6166,0.0,0.0,0.2235,0.0,0.08231666666666666,-0.35466,-0.39385,0.0,-0.32985,0.0,0.0,0.2023,0.0,-0.018417690689690718,False,-0.0008941513948397913,False
46,ILMN,2016-04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29600000000000004,0.0,0.0,0.0,0.0,0.0,0.09106666666666667,0.0,0.0,0.0,0.0,0.0,-0.2997,0.0,-0.6597,0.0,0.0,0.007374601529246014,False,-0.013674724532897213,True
