,stock,Date,Hour,compound
0,FAST,20211205,0,0.3802
1,FAST,20211205,0,0.3802
2,JD,20211205,0,0.7506
3,FAST,20211205,0,0.3802
4,FAST,20211205,0,0.3802
5,TSLA,20211205,0,0.6249
6,TSLA,20211205,0,0.4019
7,AAPL,20211205,0,0.3182
8,TSLA,20211205,0,0.0
9,NVDA,20211205,0,0.0
10,AAPL,20211205,0,0.0
11,TSLA,20211205,0,0.0
12,FAST,20211205,0,0.3802
13,TSLA,20211205,0,0.8316
14,CSCO,20211205,0,0.7506
15,FAST,20211205,0,0.3802
16,FAST,20211205,0,0.3802
17,TSLA,20211205,0,-0.1192
18,FAST,20211205,0,0.6334
19,WDC,20211205,0,0.6124
20,TSLA,20211205,0,0.4404
21,FAST,20211205,0,0.3802
22,FAST,20211205,0,0.3802
23,MSFT,20211205,0,0.4466
24,TSLA,20211205,0,0.4466
25,NFLX,20211205,0,0.1779
26,FAST,20211205,0,0.3802
27,FB,20211205,0,-0.7233
28,FAST,20211205,0,0.3802
29,TSLA,20211205,0,0.0
30,FAST,20211205,0,0.3802
31,TSLA,20211205,0,0.3612
32,FAST,20211205,0,0.3802
33,AAPL,20211205,0,-0.8225
34,AAPL,20211205,0,-0.8225
35,FAST,20211205,0,0.3802
36,MSFT,20211205,0,0.836
37,AAPL,20211205,1,0.4576
38,TSLA,20211205,1,0.0
39,NFLX,20211205,1,0.0
40,EBAY,20211205,1,0.0
41,TSLA,20211205,1,-0.5106
42,FAST,20211205,1,0.3802
43,FAST,20211205,1,0.3802
44,TSLA,20211205,1,0.0
45,NFLX,20211205,1,0.0
46,EBAY,20211205,1,0.0
47,TSLA,20211205,1,0.0
48,NFLX,20211205,1,0.0
49,EBAY,20211205,1,0.0
50,FB,20211205,1,0.0
51,PYPL,20211205,1,0.659
52,TSLA,20211205,1,0.659
53,AAPL,20211205,1,0.659
54,TSLA,20211205,1,0.0
55,NFLX,20211205,1,0.0
56,EBAY,20211205,1,0.0
57,ADP,20211205,1,0.7096
58,AAPL,20211205,1,0.0
59,TSLA,20211205,1,0.0
60,TSLA,20211205,1,0.4404
61,TSLA,20211205,1,0.7603
62,FAST,20211205,1,0.3802
63,AAL,20211205,1,0.5473
64,TSLA,20211205,1,0.0
65,STX,20211205,1,0.34
66,TSLA,20211205,1,0.296
67,TSLA,20211205,1,-0.4767
68,TSLA,20211205,1,0.2716
69,TSLA,20211205,1,-0.1192
70,TSLA,20211205,1,0.6037
71,FB,20211205,1,0.6037
72,NCLH,20211205,1,0.6037
73,ADBE,20211205,1,0.4404
74,MSFT,20211205,1,0.4404
75,AAL,20211205,1,0.4404
76,FB,20211205,1,0.4404
77,INTU,20211205,1,0.4404
78,AAPL,20211205,1,0.7088
79,AAPL,20211205,1,0.7088
80,TSLA,20211205,1,0.0
81,AAPL,20211205,1,0.0
82,TSLA,20211205,1,-0.9186
83,AAPL,20211205,1,-0.9186
84,INCY,20211205,1,-0.3182
