,stock,Date,Hour,compound
0,NVDA,20211203.0,0.0,0.6369
1,TSLA,20211203.0,0.0,0.5688
2,TSLA,20211203.0,0.0,0.4466
3,TSLA,20211203.0,0.0,0.4466
4,COST,20211203.0,0.0,0.7125
5,COST,20211203.0,0.0,0.7125
6,AAPL,20211203.0,0.0,0.0
7,AAPL,20211203.0,0.0,0.0
8,TSLA,20211203.0,0.0,-0.2732
9,TSLA,20211203.0,0.0,0.4466
10,TSLA,20211203.0,0.0,0.3566
11,AAPL,20211203.0,0.0,0.5319
12,NVDA,20211203.0,0.0,0.5319
13,TSLA,20211203.0,0.0,0.0
14,TSLA,20211203.0,0.0,0.8122
15,AAPL,20211203.0,0.0,0.0762
16,FB,20211203.0,0.0,0.0
17,TSLA,20211203.0,0.0,0.0
18,TSLA,20211203.0,0.0,0.8553
19,TSLA,20211203.0,0.0,0.296
20,MU,20211203.0,0.0,0.6166
21,TSLA,20211203.0,0.0,0.4466
22,COST,20211203.0,0.0,0.7125
23,TSLA,20211203.0,0.0,0.7269
24,TSLA,20211203.0,0.0,0.4466
25,TSLA,20211203.0,0.0,0.0
26,TSLA,20211203.0,0.0,0.0
27,NVDA,20211203.0,0.0,0.0
28,TSLA,20211203.0,0.0,0.0
29,PYPL,20211203.0,0.0,0.9035
30,TSLA,20211203.0,0.0,0.0
31,TSLA,20211203.0,0.0,0.296
32,TSLA,20211203.0,0.0,0.0
33,TSLA,20211203.0,0.0,0.8122
34,TSLA,20211203.0,0.0,0.4466
35,TSLA,20211203.0,0.0,0.4466
36,TSLA,20211203.0,0.0,0.4466
37,NVDA,20211203.0,0.0,0.501
38,TSLA,20211203.0,0.0,0.501
39,TSLA,20211203.0,0.0,0.6597
40,TSLA,20211203.0,0.0,-0.34
41,TSLA,20211203.0,0.0,0.0
42,EA,20211203.0,0.0,0.4404
43,EXPE,20211203.0,0.0,0.0
44,CHTR,20211203.0,0.0,0.4528
45,TSLA,20211203.0,0.0,0.4466
46,TSLA,20211203.0,0.0,0.4466
47,MU,20211203.0,1.0,-0.357
48,AAPL,20211203.0,1.0,0.4576
49,AAL,20211203.0,1.0,0.4576
50,TSLA,20211203.0,1.0,0.4466
51,NVDA,20211203.0,1.0,0.8779
52,TSLA,20211203.0,1.0,0.8779
53,AAPL,20211203.0,1.0,0.8779
54,AAPL,20211203.0,1.0,0.0
55,TSLA,20211203.0,1.0,0.0
56,NVDA,20211203.0,1.0,0.0
57,AAPL,20211203.0,1.0,0.0
58,PYPL,20211203.0,1.0,0.1779
59,TSLA,20211203.0,1.0,-0.1739
60,TSLA,20211203.0,1.0,0.0
61,JD,20211203.0,1.0,0.0
62,INCT,20211203.0,1.0,0.0
63,TSLA,20211203.0,1.0,0.0
64,TSLA,20211203.0,1.0,0.296
65,NVDA,20211203.0,1.0,0.0
66,MSFT,20211203.0,1.0,0.0
67,TSLA,20211203.0,1.0,0.0
68,TSLA,20211203.0,1.0,0.0
69,ADSK,20211203.0,1.0,0.2732
70,TSLA,20211203.0,1.0,0.0
71,STX,20211203.0,1.0,-0.0772
72,TSLA,20211203.0,1.0,-0.296
73,WBA,20211203.0,1.0,0.2023
74,NVDA,20211203.0,1.0,0.0
75,AAPL,20211203.0,1.0,0.0
76,NVDA,20211203.0,1.0,0.0
77,PYPL,20211203.0,1.0,0.0
78,NVDA,20211203.0,1.0,0.8306
79,TSLA,20211203.0,1.0,0.8306
80,TSLA,20211203.0,1.0,0.664
81,ADSK,20211203.0,1.0,0.0
82,PYPL,20211203.0,1.0,0.4404
83,TSLA,20211203.0,1.0,0.0
