,stock,Date,Hour,compound
0,TSLA,20211204.0,0.0,0.0
1,TSLA,20211204.0,0.0,0.0
2,STX,20211204.0,0.0,-0.296
3,FAST,20211204.0,0.0,0.3802
4,TSLA,20211204.0,0.0,0.5106
5,FB,20211204.0,0.0,-0.6571
6,FAST,20211204.0,0.0,0.3802
7,TSLA,20211204.0,0.0,0.296
8,AAPL,20211204.0,0.0,-0.4727
9,TSLA,20211204.0,0.0,0.5562
10,COST,20211204.0,0.0,0.4824
11,AVGO,20211204.0,0.0,0.4824
12,TSLA,20211204.0,0.0,-0.296
13,NFLX,20211204.0,0.0,0.4019
14,NFLX,20211204.0,0.0,0.4019
15,ADBE,20211204.0,0.0,0.0
16,FB,20211204.0,0.0,0.6705
17,EBAY,20211204.0,0.0,-0.1045
18,ATVI,20211204.0,0.0,0.2023
19,STX,20211204.0,0.0,0.0
20,EBAY,20211204.0,0.0,-0.1045
21,FB,20211204.0,0.0,0.6705
22,ADP,20211204.0,0.0,0.3802
23,TSLA,20211204.0,0.0,0.25
24,FAST,20211204.0,0.0,0.3802
25,TSLA,20211204.0,0.0,0.0772
26,FAST,20211204.0,0.0,0.3802
27,TSLA,20211204.0,0.0,0.25
28,TSLA,20211204.0,0.0,-0.508
29,STX,20211204.0,0.0,0.9062
30,TSLA,20211204.0,0.0,0.0
31,NVDA,20211204.0,0.0,0.0
32,AAPL,20211204.0,0.0,-0.8225
33,AAPL,20211204.0,0.0,0.0
34,TSLA,20211204.0,0.0,0.0
35,MSFT,20211204.0,0.0,0.0
36,QCOM,20211204.0,0.0,0.0
37,TSLA,20211204.0,0.0,0.0
38,AAPL,20211204.0,0.0,-0.8225
39,COST,20211204.0,0.0,-0.1531
40,TSLA,20211204.0,0.0,0.5106
41,TSLA,20211204.0,0.0,-0.296
42,FAST,20211204.0,1.0,0.3802
43,FAST,20211204.0,1.0,0.3802
44,AAPL,20211204.0,1.0,0.4576
45,FAST,20211204.0,1.0,0.3802
46,FB,20211204.0,1.0,0.0
