,stock,Date,Hour,compound
0,AAPL,20211213,0,0.8779
1,TSLA,20211213,0,0.8779
2,MSFT,20211213,0,0.8779
3,AAPL,20211213,0,0.296
4,MSFT,20211213,0,0.296
5,MSFT,20211213,0,0.5106
6,MDLZ,20211213,0,0.0
7,EBAY,20211213,0,-0.4215
8,KHC,20211213,0,0.0
9,TSLA,20211213,0,-0.2263
10,NFLX,20211213,0,0.4404
11,PYPL,20211213,0,-0.5423
12,TSLA,20211213,0,-0.2263
13,TSLA,20211213,0,-0.3885
14,TSLA,20211213,0,-0.2263
15,TSLA,20211213,0,0.0
16,AAPL,20211213,0,0.0
17,MSFT,20211213,0,0.0
18,NVDA,20211213,0,0.0
19,TSLA,20211213,0,0.296
20,MSFT,20211213,0,0.0
21,AAPL,20211213,0,0.0
22,NVDA,20211213,0,0.0
23,TSLA,20211213,0,0.0
24,NVDA,20211213,0,0.0
25,AAPL,20211213,0,0.0
26,TSLA,20211213,0,-0.2263
27,NVDA,20211213,0,0.0
28,NVDA,20211213,0,0.0
29,TSLA,20211213,0,0.7125
30,SBUX,20211213,0,0.0
31,MSFT,20211213,0,0.0
32,TSLA,20211213,0,0.34
33,AAPL,20211213,0,0.0
34,MU,20211213,0,0.5574
35,MSFT,20211213,0,0.0
36,AAPL,20211213,0,0.0
37,FB,20211213,0,0.0
38,PYPL,20211213,0,0.0
39,NFLX,20211213,0,0.0
40,TSLA,20211213,0,0.296
41,SBUX,20211213,0,0.4215
42,TSLA,20211213,0,0.2023
43,MSFT,20211213,0,0.0
44,AAPL,20211213,0,0.0
45,NVDA,20211213,0,0.0
46,TSLA,20211213,0,0.0
47,NVDA,20211213,0,0.7227
48,NVDA,20211213,0,0.0
49,MSFT,20211213,0,0.0
50,MU,20211213,0,0.8271
51,TSLA,20211213,0,0.3612
52,ADBE,20211213,0,0.0
53,SBUX,20211213,0,0.0
54,JD,20211213,0,0.0
55,TSLA,20211213,0,-0.2263
56,TSLA,20211213,0,0.0
57,TSLA,20211213,0,-0.2263
58,TSLA,20211213,0,0.0
59,TSLA,20211213,0,0.0
60,MSFT,20211213,0,0.0
61,MSFT,20211213,0,0.0
62,ADBE,20211213,0,0.0
63,MSFT,20211213,0,0.0
64,TSLA,20211213,0,0.296
65,AAPL,20211213,0,0.0
66,NVDA,20211213,0,0.0
67,FB,20211213,0,0.0
68,AAPL,20211213,0,-0.8225
69,AAPL,20211213,0,0.0
70,SBUX,20211213,0,-0.128
71,PYPL,20211213,0,-0.128
72,AAPL,20211213,0,0.0
73,TSLA,20211213,0,-0.0258
74,TSLA,20211213,0,0.8122
75,TSLA,20211213,0,0.3612
76,AAPL,20211213,0,-0.4019
77,TSLA,20211213,0,-0.2263
78,EBAY,20211213,0,0.4019
79,NVDA,20211213,0,0.0
80,TSLA,20211213,1,0.8779
81,AAPL,20211213,1,0.8779
82,ADBE,20211213,1,0.0
83,MSFT,20211213,1,0.25
84,REGN,20211213,1,0.5574
85,REGN,20211213,1,0.5574
86,TSLA,20211213,1,0.296
87,ADBE,20211213,1,0.0
88,CSCO,20211213,1,0.2023
89,TSLA,20211213,1,-0.2263
90,TSLA,20211213,1,0.0
91,QCOM,20211213,1,0.0
92,MU,20211213,1,0.0
93,TSLA,20211213,1,0.0
94,TSLA,20211213,1,0.0
95,ADBE,20211213,1,0.0
96,AAPL,20211213,1,0.5319
97,TSLA,20211213,1,0.5319
98,TSLA,20211213,1,0.0
99,AAPL,20211213,1,0.6786
100,COST,20211213,1,0.4753
101,REGN,20211213,1,0.4019
102,AAPL,20211213,1,0.0
103,TSLA,20211213,1,0.3612
104,AAPL,20211213,1,0.4404
105,NVDA,20211213,1,0.4404
106,REGN,20211213,1,0.5574
107,PAYX,20211213,1,0.296
108,AAPL,20211213,1,0.4559
109,TSLA,20211213,1,0.4559
110,AAPL,20211213,1,0.0
111,TSLA,20211213,1,0.3818
112,TSLA,20211213,1,0.2755
113,AAPL,20211213,1,0.4404
114,NVDA,20211213,1,0.6786
