,stock,Date,Hour,compound
0,FB,20211207.0,0.0,-0.1459
1,TSLA,20211207.0,0.0,0.8779
2,FB,20211207.0,0.0,0.8779
3,FAST,20211207.0,0.0,0.3802
4,STX,20211207.0,0.0,-0.296
5,MSFT,20211207.0,0.0,0.7865
6,FB,20211207.0,0.0,-0.1459
7,MSFT,20211207.0,0.0,0.0
8,AAPL,20211207.0,0.0,0.0
9,TSLA,20211207.0,0.0,0.0
10,AAPL,20211207.0,0.0,0.0
11,AMAT,20211207.0,0.0,0.0
12,QCOM,20211207.0,0.0,0.0
13,FB,20211207.0,0.0,0.0
14,MSFT,20211207.0,0.0,-0.5719
15,NFLX,20211207.0,0.0,-0.5719
16,TSLA,20211207.0,0.0,-0.1511
17,TSLA,20211207.0,0.0,0.3182
18,AVGO,20211207.0,0.0,0.296
19,FAST,20211207.0,0.0,0.3802
20,TSLA,20211207.0,0.0,0.0
21,NVDA,20211207.0,0.0,0.0
22,STX,20211207.0,0.0,0.0
23,AAPL,20211207.0,0.0,0.0
24,AMAT,20211207.0,0.0,0.0
25,QCOM,20211207.0,0.0,0.0
26,FB,20211207.0,0.0,0.0
27,STX,20211207.0,0.0,0.2732
28,TSLA,20211207.0,0.0,0.7003
29,STX,20211207.0,0.0,-0.4753
30,TSLA,20211207.0,0.0,0.0
31,FAST,20211207.0,0.0,0.3802
32,TSLA,20211207.0,0.0,0.5106
33,TSLA,20211207.0,0.0,-0.3612
34,FB,20211207.0,0.0,0.4404
35,FAST,20211207.0,0.0,0.3802
36,MSFT,20211207.0,0.0,0.3612
37,TSLA,20211207.0,0.0,-0.1779
38,AAPL,20211207.0,0.0,0.0
39,TSLA,20211207.0,0.0,0.7003
40,FAST,20211207.0,0.0,0.3802
41,FAST,20211207.0,0.0,0.3802
42,AAPL,20211207.0,0.0,0.0
43,AMAT,20211207.0,0.0,0.0
44,QCOM,20211207.0,0.0,0.0
45,FB,20211207.0,0.0,0.0
46,AAPL,20211207.0,0.0,0.296
47,AAPL,20211207.0,0.0,0.296
48,TSLA,20211207.0,0.0,0.296
49,AAPL,20211207.0,0.0,0.296
50,TSLA,20211207.0,0.0,0.296
51,FB,20211207.0,0.0,0.5106
52,MSFT,20211207.0,0.0,0.0
53,TSLA,20211207.0,0.0,0.4215
54,AAPL,20211207.0,0.0,0.0
55,AMAT,20211207.0,0.0,0.0
56,QCOM,20211207.0,0.0,0.0
57,FB,20211207.0,0.0,0.0
58,TSLA,20211207.0,0.0,0.0
59,TSLA,20211207.0,0.0,0.0
60,TSLA,20211207.0,0.0,0.0
61,FAST,20211207.0,0.0,0.3802
62,FAST,20211207.0,0.0,0.3802
63,COST,20211207.0,0.0,0.6166
64,TSLA,20211207.0,0.0,-0.4215
65,TSLA,20211207.0,0.0,-0.2263
66,MAT,20211207.0,0.0,-0.4003
67,PYPL,20211207.0,0.0,0.4404
68,MAT,20211207.0,0.0,-0.296
69,AAPL,20211207.0,0.0,-0.8225
70,MAT,20211207.0,0.0,-0.296
71,AAL,20211207.0,0.0,0.0
72,AAPL,20211207.0,0.0,0.4404
73,AAPL,20211207.0,0.0,-0.8225
74,MSFT,20211207.0,0.0,0.4215
75,MU,20211207.0,0.0,0.6124
76,TSLA,20211207.0,0.0,0.4404
77,AAPL,20211207.0,0.0,-0.4215
78,TSLA,20211207.0,0.0,-0.8587
79,AAPL,20211207.0,0.0,0.0
80,TSLA,20211207.0,0.0,0.0
81,TSLA,20211207.0,0.0,0.4404
82,FAST,20211207.0,0.0,0.3802
83,TSLA,20211207.0,1.0,0.4754
84,AAPL,20211207.0,1.0,0.4576
85,AAL,20211207.0,1.0,0.4576
86,NVDA,20211207.0,1.0,0.4576
87,AAL,20211207.0,1.0,0.8779
88,FB,20211207.0,1.0,0.8779
89,TSLA,20211207.0,1.0,0.8779
90,PYPL,20211207.0,1.0,0.4404
91,ATVI,20211207.0,1.0,-0.3412
92,TSLA,20211207.0,1.0,0.4588
93,TSLA,20211207.0,1.0,0.3818
94,TSLA,20211207.0,1.0,0.7003
95,AAPL,20211207.0,1.0,0.4404
96,FISV,20211207.0,1.0,0.6124
97,FAST,20211207.0,1.0,0.3802
98,TSLA,20211207.0,1.0,0.3818
99,TSLA,20211207.0,1.0,0.4404
100,FB,20211207.0,1.0,0.4926
101,TSLA,20211207.0,1.0,0.5106
102,TSLA,20211207.0,1.0,0.5106
103,TSLA,20211207.0,1.0,0.7096
104,FB,20211207.0,1.0,0.7096
105,AAPL,20211207.0,1.0,0.8957
106,TSLA,20211207.0,1.0,0.8957
107,NVDA,20211207.0,1.0,0.8957
108,FB,20211207.0,1.0,0.0
109,MSFT,20211207.0,1.0,0.0
110,AAPL,20211207.0,1.0,0.6369
111,FAST,20211207.0,1.0,0.3802
112,NFLX,20211207.0,1.0,0.0
