,stock,Date,Hour,compound
0,AAPL,20211211.0,0.0,0.8779
1,MSFT,20211211.0,0.0,0.8779
2,AVGO,20211211.0,0.0,0.0
3,AAPL,20211211.0,0.0,0.0
4,AAPL,20211211.0,0.0,0.0
5,TSLA,20211211.0,0.0,0.4588
6,AAPL,20211211.0,0.0,0.0
7,MU,20211211.0,0.0,0.1779
8,MSFT,20211211.0,0.0,0.836
9,MSFT,20211211.0,0.0,0.7269
10,PYPL,20211211.0,0.0,0.3612
11,AAPL,20211211.0,0.0,0.0772
12,FB,20211211.0,0.0,0.8588
13,AAPL,20211211.0,0.0,0.0
14,QCOM,20211211.0,0.0,0.5267
15,QCOM,20211211.0,0.0,0.5267
16,AAPL,20211211.0,0.0,0.0
17,TSLA,20211211.0,0.0,0.0
18,AMGN,20211211.0,0.0,0.4588
19,AAPL,20211211.0,0.0,0.0
20,AAPL,20211211.0,0.0,0.4404
21,TSLA,20211211.0,0.0,0.0
22,TSLA,20211211.0,0.0,0.1531
23,STX,20211211.0,0.0,0.0
24,AAPL,20211211.0,0.0,0.0
25,AAPL,20211211.0,0.0,0.0
26,AAPL,20211211.0,0.0,-0.34
27,FB,20211211.0,0.0,0.0
28,TSLA,20211211.0,0.0,0.0
29,AAPL,20211211.0,0.0,-0.1531
30,TSLA,20211211.0,0.0,0.0
31,AAPL,20211211.0,0.0,0.0
32,MSFT,20211211.0,0.0,0.0
33,FB,20211211.0,0.0,0.3612
34,AAPL,20211211.0,0.0,0.4404
35,FAST,20211211.0,0.0,0.3802
36,AAPL,20211211.0,0.0,0.0
37,INTU,20211211.0,0.0,0.1531
38,QCOM,20211211.0,0.0,0.5267
39,AAPL,20211211.0,0.0,0.4215
40,MSFT,20211211.0,0.0,0.7269
41,TSLA,20211211.0,0.0,-0.128
42,AAPL,20211211.0,0.0,0.4019
43,SBUX,20211211.0,0.0,0.1531
44,AAPL,20211211.0,0.0,0.2732
45,AAPL,20211211.0,0.0,-0.8225
46,AAPL,20211211.0,0.0,0.296
47,AAPL,20211211.0,0.0,0.0
48,TSLA,20211211.0,0.0,0.0
49,TSLA,20211211.0,0.0,0.5106
50,AAPL,20211211.0,0.0,0.0
51,PYPL,20211211.0,0.0,0.0772
52,TSLA,20211211.0,0.0,0.6705
53,AAPL,20211211.0,0.0,-0.8225
54,AAPL,20211211.0,0.0,0.0
55,AAPL,20211211.0,0.0,0.0
56,AAPL,20211211.0,0.0,-0.34
57,AAPL,20211211.0,0.0,0.0
58,TSLA,20211211.0,0.0,-0.34
59,AAPL,20211211.0,1.0,0.4576
60,NVDA,20211211.0,1.0,0.4576
61,TSLA,20211211.0,1.0,-0.1531
62,AAPL,20211211.0,1.0,0.8779
63,MSFT,20211211.0,1.0,0.8779
64,FB,20211211.0,1.0,0.8779
65,STX,20211211.0,1.0,-0.2732
66,AAPL,20211211.0,1.0,0.0
67,AKAM,20211211.0,1.0,0.6124
68,AAPL,20211211.0,1.0,-0.7783
69,TSLA,20211211.0,1.0,-0.1531
70,AAPL,20211211.0,1.0,0.34
71,TSLA,20211211.0,1.0,-0.1531
72,TSLA,20211211.0,1.0,-0.1531
73,FB,20211211.0,1.0,0.9526
74,MSFT,20211211.0,1.0,0.9526
75,AAPL,20211211.0,1.0,-0.5719
76,TSLA,20211211.0,1.0,-0.1531
77,TSLA,20211211.0,1.0,-0.1531
78,TSLA,20211211.0,1.0,-0.1531
79,AAPL,20211211.0,1.0,0.0
80,TSLA,20211211.0,1.0,0.0
81,NVDA,20211211.0,1.0,0.0
82,MSFT,20211211.0,1.0,0.0
83,AAPL,20211211.0,1.0,-0.5574
84,AAPL,20211211.0,1.0,0.0
85,TSLA,20211211.0,1.0,-0.8439
86,TSLA,20211211.0,1.0,-0.1531
87,TSLA,20211211.0,1.0,-0.1531
88,COST,20211211.0,1.0,0.0
89,FB,20211211.0,1.0,0.0
90,TSLA,20211211.0,1.0,-0.1531
91,TSLA,20211211.0,1.0,-0.1531
92,TSLA,20211211.0,1.0,-0.1531
93,VOD,20211211.0,1.0,0.0
94,TSLA,20211211.0,1.0,-0.1531
95,TSLA,20211211.0,1.0,-0.1531
96,TSLA,20211211.0,1.0,-0.1531
97,TSLA,20211211.0,1.0,-0.1531
98,TSLA,20211211.0,1.0,-0.1531
99,TSLA,20211211.0,1.0,-0.1531
100,AVGO,20211211.0,1.0,0.0
101,COST,20211211.0,1.0,0.0
102,CSCO,20211211.0,1.0,0.0
103,CSCO,20211211.0,1.0,0.8271
104,TSLA,20211211.0,1.0,-0.1531
105,TSLA,20211211.0,1.0,-0.1531
106,AAPL,20211211.0,1.0,0.0
107,AAPL,20211211.0,1.0,0.4588
108,COST,20211211.0,1.0,0.0
109,FB,20211211.0,1.0,0.0
110,MSFT,20211211.0,1.0,0.0
111,NVDA,20211211.0,1.0,0.0
112,AAPL,20211211.0,1.0,0.0
113,TSLA,20211211.0,1.0,-0.1531
