,stock,Date,Hour,compound
0,TSLA,20211209,0,0.8779
1,AAPL,20211209,0,0.8779
2,TSLA,20211209,0,-0.2023
3,STX,20211209,0,0.0
4,TSLA,20211209,0,0.0
5,AAPL,20211209,0,0.0
6,FAST,20211209,0,0.3802
7,TSLA,20211209,0,-0.4588
8,TSLA,20211209,0,0.128
9,TSLA,20211209,0,0.4404
10,AAPL,20211209,0,0.0
11,TSLA,20211209,0,0.0
12,TSLA,20211209,0,0.0
13,COST,20211209,0,0.0
14,TSLA,20211209,0,-0.1027
15,AAPL,20211209,0,0.2315
16,FAST,20211209,0,0.3802
17,TSLA,20211209,0,0.2023
18,TSLA,20211209,0,0.6155
19,TSLA,20211209,0,0.4019
20,TSLA,20211209,0,0.0
21,CHTR,20211209,0,0.0
22,TSLA,20211209,0,0.0
23,STX,20211209,0,0.6124
24,TSLA,20211209,0,0.0
25,TSLA,20211209,0,0.0
26,TSLA,20211209,0,0.2263
27,TSLA,20211209,0,-0.6124
28,AAPL,20211209,0,0.0
29,TSLA,20211209,0,0.0
30,AAPL,20211209,0,0.0
31,TSLA,20211209,0,-0.2732
32,TSLA,20211209,0,-0.4215
33,TSLA,20211209,0,0.4404
34,TSLA,20211209,0,0.0
35,TSLA,20211209,0,-0.34
36,TSLA,20211209,0,0.3612
37,NVDA,20211209,0,-0.1531
38,AAPL,20211209,0,0.0
39,NVDA,20211209,0,0.6166
40,JD,20211209,0,0.0
41,AAPL,20211209,0,0.0
42,FB,20211209,0,0.0
43,TSLA,20211209,0,-0.2732
44,FAST,20211209,0,0.3802
45,TSLA,20211209,0,-0.2714
46,AMAT,20211209,0,0.6697
47,NVDA,20211209,0,0.6166
48,AAPL,20211209,0,0.2263
49,TSLA,20211209,0,0.34
50,TSLA,20211209,0,0.1027
51,ADBE,20211209,0,-0.5994
52,AAL,20211209,0,0.6786
53,AAPL,20211209,0,0.4404
54,TSLA,20211209,0,0.4404
55,AAPL,20211209,0,0.7184
56,AAPL,20211209,0,0.5106
57,TSLA,20211209,0,0.5106
58,TSLA,20211209,0,0.4588
59,QCOM,20211209,0,0.4588
60,NVDA,20211209,0,0.4588
61,TSLA,20211209,0,0.0
62,AAPL,20211209,0,0.0
63,TSLA,20211209,0,0.0
64,AAPL,20211209,0,0.7506
65,TSLA,20211209,0,0.6486
66,TSLA,20211209,0,0.6124
67,TSLA,20211209,0,0.3612
68,AAPL,20211209,0,0.0
69,NFLX,20211209,0,0.0
70,PYPL,20211209,0,0.0
71,DISCK,20211209,0,0.6124
72,TSLA,20211209,0,0.0
73,TSLA,20211209,0,0.5994
74,JD,20211209,0,0.0
75,TSLA,20211209,0,0.0
76,FAST,20211209,0,0.3802
77,TSLA,20211209,0,0.7684
78,FB,20211209,0,0.0
79,TSLA,20211209,0,0.296
80,QCOM,20211209,0,0.4215
81,SBUX,20211209,0,0.0
82,NVDA,20211209,0,0.6166
83,QCOM,20211209,0,0.4215
84,FB,20211209,0,0.0
85,TSLA,20211209,0,-0.1306
86,AAPL,20211209,0,0.4404
87,TSLA,20211209,0,0.4404
88,TSLA,20211209,0,0.8271
89,NVDA,20211209,0,0.7865
90,MSFT,20211209,0,0.7865
91,AAPL,20211209,0,0.5423
92,TSLA,20211209,0,0.0
93,NVDA,20211209,0,0.6166
94,TSLA,20211209,0,0.0
95,NVDA,20211209,0,0.5994
96,TSLA,20211209,0,0.4404
97,TSLA,20211209,0,0.6331
98,TSLA,20211209,0,0.4404
99,AAPL,20211209,0,0.2023
100,TSLA,20211209,0,0.2023
101,NCLH,20211209,0,0.6786
102,TSLA,20211209,0,0.7983
103,NVDA,20211209,0,0.6166
104,AAPL,20211209,0,-0.8225
105,AAPL,20211209,0,0.0
106,LRCX,20211209,0,0.0
107,TSLA,20211209,0,0.4019
108,PYPL,20211209,0,0.7351
109,PYPL,20211209,0,0.7351
110,TSLA,20211209,0,0.7351
111,COST,20211209,0,0.0
112,PYPL,20211209,0,0.0
113,AAPL,20211209,0,0.0
114,AAPL,20211209,0,0.0
115,AMAT,20211209,0,0.0
116,FB,20211209,0,0.0
117,MSFT,20211209,0,0.0
118,AAPL,20211209,0,0.0
119,AAPL,20211209,0,0.0
120,AAPL,20211209,0,-0.8225
121,JD,20211209,0,0.0
122,SBUX,20211209,0,0.0
123,TSLA,20211209,0,0.0
124,TSLA,20211209,0,0.0
125,FISV,20211209,0,0.6124
126,NVDA,20211209,0,0.0
127,NVDA,20211209,0,0.7865
128,MSFT,20211209,0,0.7865
129,PYPL,20211209,0,0.3612
130,TSLA,20211209,0,0.3612
131,NVDA,20211209,0,0.3612
132,TSLA,20211209,0,-0.7378
133,NVDA,20211209,0,0.0
134,TSLA,20211209,0,-0.7378
135,FAST,20211209,1,0.3802
136,CMCSA,20211209,1,0.0
137,AAPL,20211209,1,0.4576
138,FAST,20211209,1,0.3802
139,MSFT,20211209,1,0.8779
140,QCOM,20211209,1,0.8779
141,TSLA,20211209,1,0.0
142,FAST,20211209,1,0.3802
143,NVDA,20211209,1,0.2023
144,FAST,20211209,1,0.3802
145,FAST,20211209,1,0.3802
146,FAST,20211209,1,0.3802
147,FAST,20211209,1,0.3802
148,FAST,20211209,1,0.3802
149,GOOG,20211209,1,0.4019
150,MSFT,20211209,1,0.0
151,TSLA,20211209,1,0.0
152,AAPL,20211209,1,0.0
153,GOOG,20211209,1,0.4019
154,FAST,20211209,1,0.3802
155,NVDA,20211209,1,-0.3089
156,WBA,20211209,1,0.2023
157,FAST,20211209,1,0.3802
158,TSLA,20211209,1,0.5859
159,PYPL,20211209,1,-0.2411
160,FAST,20211209,1,0.3802
161,FAST,20211209,1,0.3802
162,TSLA,20211209,1,0.6486
163,FAST,20211209,1,0.3802
164,AAPL,20211209,1,0.4576
165,MU,20211209,1,0.836
166,FAST,20211209,1,0.3802
167,TSLA,20211209,1,0.6486
168,TSLA,20211209,1,0.6486
169,FAST,20211209,1,0.3802
170,TSLA,20211209,1,0.0
171,FAST,20211209,1,0.3802
172,FAST,20211209,1,0.3802
173,AAPL,20211209,1,-0.4215
174,MSFT,20211209,1,0.0
175,AAPL,20211209,1,0.0
176,MSFT,20211209,1,0.0
177,AAPL,20211209,1,0.0
178,FAST,20211209,1,0.3802
179,CSX,20211209,1,0.0
180,FAST,20211209,1,0.3802
181,MSFT,20211209,1,0.0
182,AAPL,20211209,1,0.0
183,MSFT,20211209,1,0.0
184,AAPL,20211209,1,0.0
185,MSFT,20211209,1,0.0
186,AAPL,20211209,1,0.0
187,MSFT,20211209,1,0.0
188,AAPL,20211209,1,0.0
189,TSLA,20211209,1,0.0
190,TSLA,20211209,1,0.0
191,MSFT,20211209,1,0.0
192,AAPL,20211209,1,0.0
193,MSFT,20211209,1,0.0
194,AAPL,20211209,1,0.0
195,FAST,20211209,1,0.3802
196,TSLA,20211209,1,0.0
197,AAPL,20211209,1,0.0
198,FAST,20211209,1,0.3802
199,FAST,20211209,1,0.3802
200,TSLA,20211209,1,0.0
201,MSFT,20211209,1,0.0
202,AAPL,20211209,1,0.0
203,MSFT,20211209,1,0.0
204,AAPL,20211209,1,0.0
205,MSFT,20211209,1,0.0
206,AAPL,20211209,1,0.0
207,MSFT,20211209,1,0.0
208,AAPL,20211209,1,0.0
209,MSFT,20211209,1,0.0
210,AAPL,20211209,1,0.0
211,FAST,20211209,1,0.3802
212,MSFT,20211209,1,0.0
213,AAPL,20211209,1,0.0
214,AAPL,20211209,1,-0.8225
215,FAST,20211209,1,0.3802
216,AAPL,20211209,1,0.5423
217,PYPL,20211209,1,0.0
218,AAPL,20211209,1,0.0
219,TSLA,20211209,1,0.1027
220,FAST,20211209,1,0.3802
221,AAPL,20211209,1,0.2023
222,NVDA,20211209,1,0.2023
223,STX,20211209,1,0.2023
224,MSFT,20211209,1,0.0
225,AAPL,20211209,1,0.0
226,PYPL,20211209,1,0.3612
227,FAST,20211209,1,0.3802
228,MSFT,20211209,1,0.0
229,AAPL,20211209,1,0.0
230,FAST,20211209,2,0.3802
231,AAPL,20211209,2,0.4588
232,TSLA,20211209,2,0.4588
233,MSFT,20211209,2,0.0
234,AAPL,20211209,2,0.0
235,MSFT,20211209,2,0.0
236,AAPL,20211209,2,0.0
237,MSFT,20211209,2,0.8779
238,TSLA,20211209,2,0.8779
239,AAPL,20211209,2,0.34
240,TSLA,20211209,2,0.0
241,WDC,20211209,2,0.6124
242,BBBY,20211209,2,0.0
243,AAPL,20211209,2,0.0
244,AAPL,20211209,2,0.0772
245,TSLA,20211209,2,0.0
246,KHC,20211209,2,0.6124
247,TSLA,20211209,2,0.8126
248,MAT,20211209,2,-0.296
249,AAPL,20211209,2,0.4173
250,CHTR,20211209,2,0.6124
