,stock,Date,Hour,compound
0,TSLA,20211202,0,0.0
1,AAPL,20211202,0,0.2732
2,AAPL,20211202,0,0.2732
3,AAPL,20211202,0,0.0
4,STX,20211202,0,0.9186
5,MU,20211202,0,-0.1027
6,TSLA,20211202,0,0.0
7,AAPL,20211202,0,-0.128
8,STX,20211202,0,0.9062
9,AAPL,20211202,0,0.5994
10,NVDA,20211202,0,0.5994
11,FB,20211202,0,0.5994
12,MSFT,20211202,0,0.5994
13,ADBE,20211202,0,0.5994
14,ADSK,20211202,0,0.5994
15,AMAT,20211202,0,0.0
16,TSLA,20211202,0,0.296
17,AAPL,20211202,0,0.4404
18,TSLA,20211202,0,0.0
19,TSLA,20211202,0,-0.2732
20,AAPL,20211202,0,0.2732
21,ATVI,20211202,0,-0.2732
22,TSLA,20211202,0,0.0
23,AAPL,20211202,0,-0.4648
24,GOOG,20211202,0,-0.4648
25,MSFT,20211202,0,-0.4648
26,FB,20211202,0,-0.4648
27,TSLA,20211202,0,0.0
28,TSLA,20211202,0,-0.7717
29,STX,20211202,0,0.9062
30,TSLA,20211202,0,0.0
31,TSLA,20211202,0,0.4767
32,AAPL,20211202,0,0.8779
33,AAL,20211202,0,0.4404
34,ATVI,20211202,0,0.6833
35,STX,20211202,0,-0.6705
36,AAPL,20211202,0,0.2732
37,TSLA,20211202,0,-0.2732
38,TSLA,20211202,0,0.5423
39,TSLA,20211202,0,0.296
40,MU,20211202,0,0.836
41,NCLH,20211202,0,0.0
42,TSLA,20211202,0,0.0
43,TSLA,20211202,0,-0.1511
44,AAPL,20211202,0,-0.128
45,LRCX,20211202,0,0.0
46,AAPL,20211202,0,0.0
47,TSLA,20211202,0,0.2168
48,PYPL,20211202,0,0.0
49,STX,20211202,0,-0.6705
50,BIDU,20211202,0,0.6124
51,BIDU,20211202,0,0.6124
52,MSFT,20211202,0,-0.4404
53,TSLA,20211202,0,-0.4404
54,FB,20211202,0,0.6705
55,ADP,20211202,0,0.6124
56,AAPL,20211202,0,-0.5106
57,MSFT,20211202,0,-0.5106
58,TSLA,20211202,0,0.0
59,AAPL,20211202,0,-0.2732
60,INCY,20211202,0,0.0
61,AAPL,20211202,0,0.2732
62,AAPL,20211202,0,-0.3382
63,TSLA,20211202,0,0.0
64,TSLA,20211202,0,0.0
65,AAPL,20211202,0,0.2023
66,TSLA,20211202,0,0.0772
67,TSLA,20211202,0,0.4215
68,AAPL,20211202,0,0.4215
69,NVDA,20211202,0,0.6124
70,TSLA,20211202,0,-0.2732
71,TSLA,20211202,0,0.0
72,NVDA,20211202,0,0.6124
73,TSLA,20211202,0,0.3818
74,MSFT,20211202,0,-0.25
75,TSLA,20211202,0,0.5574
76,PYPL,20211202,0,-0.34
77,AAPL,20211202,0,0.4939
78,AAPL,20211202,0,-0.128
79,TSLA,20211202,0,0.4588
80,AAPL,20211202,0,0.2732
81,AAPL,20211202,0,0.2732
82,AAPL,20211202,16,0.7088
83,AAPL,20211202,16,0.7088
84,NFLX,20211202,16,0.7088
85,NVDA,20211202,16,-0.0803
86,TSLA,20211202,16,0.0
87,NVDA,20211202,16,-0.3987
88,FB,20211202,16,0.0
89,FB,20211202,16,0.0
90,FB,20211202,16,0.0
91,TSLA,20211202,16,0.0
92,AAPL,20211202,16,0.0
93,FB,20211202,16,0.0
94,GOOG,20211202,16,0.0
95,MSFT,20211202,16,0.0
96,TSLA,20211202,16,0.0
97,TSLA,20211202,16,0.0
98,TSLA,20211202,16,0.3612
99,NVDA,20211202,16,0.0772
100,TSLA,20211202,16,0.7783
101,NVDA,20211202,16,0.0
102,TSLA,20211202,16,0.4404
103,TSLA,20211202,16,0.4404
104,TSLA,20211202,16,0.0
105,TSLA,20211202,16,-0.4466
106,NVDA,20211202,16,-0.4466
107,TSLA,20211202,16,0.0
108,TSLA,20211202,16,0.0
109,TSLA,20211202,16,0.0
110,TSLA,20211202,16,-0.128
111,TSLA,20211202,16,-0.128
112,TSLA,20211202,16,0.4826
113,AAPL,20211202,16,0.0
114,BIDU,20211202,16,0.0
115,FB,20211202,16,0.0
116,GOOG,20211202,16,0.0
117,TSLA,20211202,16,0.0
118,AAPL,20211202,16,0.0516
119,TSLA,20211202,16,0.0516
120,TSLA,20211202,16,0.0
121,FB,20211202,16,-0.296
122,AAPL,20211202,16,-0.296
123,TSLA,20211202,16,0.0
124,TSLA,20211202,16,0.0
125,AAPL,20211202,16,0.8689
126,TSLA,20211202,16,-0.5563
127,AAPL,20211202,16,0.0
128,TSLA,20211202,16,0.0
129,TSLA,20211202,16,0.5574
130,CMCSA,20211202,16,0.0
131,TSLA,20211202,16,0.7964
132,TSLA,20211202,16,-0.128
133,FB,20211202,16,0.7602
134,TSLA,20211202,16,-0.3313
135,TSLA,20211202,16,-0.1779
136,TSLA,20211202,16,0.0
137,TSLA,20211202,16,0.0
138,CSCO,20211202,16,-0.128
139,CSCO,20211202,16,-0.128
140,NVDA,20211202,16,0.3612
141,AAPL,20211202,16,0.0516
142,TSLA,20211202,16,0.0516
143,AAPL,20211202,16,0.6808
144,NVDA,20211202,16,-0.296
145,TSLA,20211202,16,0.34
146,EBAY,20211202,16,0.0
147,TSLA,20211202,16,0.0
148,AAL,20211202,16,0.0
149,NVDA,20211202,16,0.4588
150,TSLA,20211202,16,0.0
151,TSLA,20211202,16,0.0
152,TSLA,20211202,16,-0.2732
153,TSLA,20211202,16,0.0
154,TSLA,20211202,16,-0.1779
155,TSLA,20211202,16,0.0
156,TSLA,20211202,16,-0.2263
157,EBAY,20211202,16,0.0
158,EXPE,20211202,16,0.0
159,TSLA,20211202,16,0.0
160,TSLA,20211202,16,-0.9095
161,TSLA,20211202,16,0.6705
162,STX,20211202,16,0.4019
163,BIDU,20211202,16,-0.5574
164,JD,20211202,16,-0.5574
165,TSLA,20211202,16,0.4404
166,TSLA,20211202,16,-0.128
167,TSLA,20211202,16,-0.128
168,FB,20211202,16,-0.3182
169,TSLA,20211202,16,0.296
170,NVDA,20211202,16,0.3382
171,STX,20211202,16,-0.2263
172,NVDA,20211202,16,0.4588
173,TSLA,20211202,16,0.0
174,NVDA,20211202,16,0.3182
175,TSLA,20211202,16,0.4767
176,TSLA,20211202,16,0.4767
177,AAPL,20211202,16,-0.128
178,AAPL,20211202,16,-0.128
179,TRIP,20211202,16,0.2244
180,TSLA,20211202,16,-0.4767
181,AAPL,20211202,16,-0.128
182,AAPL,20211202,16,0.0
183,TSLA,20211202,16,0.0
184,NFLX,20211202,16,0.0
185,EBAY,20211202,16,0.0
186,AAPL,20211202,16,0.0
187,NVDA,20211202,16,0.0
188,TSLA,20211202,16,0.0
189,STX,20211202,16,0.7755
190,TSLA,20211202,16,-0.128
191,TSLA,20211202,16,-0.5106
192,TSLA,20211202,16,-0.128
193,JD,20211202,16,0.1779
194,TSLA,20211202,16,-0.4767
195,INCT,20211202,16,0.4404
196,ULTA,20211202,16,0.5859
197,NFLX,20211202,16,0.4019
198,NFLX,20211202,16,0.4019
199,TSLA,20211202,16,0.0
200,NFLX,20211202,16,0.0
201,EBAY,20211202,16,0.0
202,JD,20211202,16,-0.3612
203,TSLA,20211202,16,0.0
204,TSLA,20211202,16,0.0
205,NFLX,20211202,16,0.0
206,EBAY,20211202,16,0.0
207,ULTA,20211202,16,0.5859
208,PYPL,20211202,16,0.659
209,TSLA,20211202,16,0.659
210,AAPL,20211202,16,0.659
211,TSLA,20211202,16,0.0
212,NFLX,20211202,16,0.0
213,EBAY,20211202,16,0.0
214,MNST,20211202,16,0.8481
215,TSLA,20211202,16,0.0
216,AAPL,20211202,16,0.6124
217,AAPL,20211202,16,0.0516
218,TSLA,20211202,16,0.0516
219,MNST,20211202,16,0.8481
220,TSLA,20211202,16,-0.2796
221,ULTA,20211202,16,0.5859
222,AAPL,20211202,16,0.0
223,TSLA,20211202,16,0.0
224,AAPL,20211202,16,0.0
225,AAPL,20211202,16,0.2263
226,TSLA,20211202,16,0.8971
227,AAPL,20211202,16,-0.4019
228,TSLA,20211202,16,0.7603
229,TSLA,20211202,16,0.128
230,TSLA,20211202,16,-0.4466
