,stock,Date,Hour,compound
0,FAST,20211206.0,0.0,0.3802
1,TSLA,20211206.0,0.0,0.8779
2,AAPL,20211206.0,0.0,0.0
3,PYPL,20211206.0,0.0,0.0
4,TMUS,20211206.0,0.0,0.0
5,STX,20211206.0,0.0,-0.296
6,NVDA,20211206.0,0.0,0.4939
7,COST,20211206.0,0.0,0.0
8,DLTR,20211206.0,0.0,0.0
9,NVDA,20211206.0,0.0,0.0
10,MSFT,20211206.0,0.0,0.0
11,TSLA,20211206.0,0.0,0.0
12,ADBE,20211206.0,0.0,-0.2244
13,JD,20211206.0,0.0,0.1779
14,PYPL,20211206.0,0.0,-0.631
15,TMUS,20211206.0,0.0,0.0
16,NVDA,20211206.0,0.0,0.0
17,WBA,20211206.0,0.0,0.0
18,TMUS,20211206.0,0.0,0.0
19,NVDA,20211206.0,0.0,0.0
20,TSLA,20211206.0,0.0,0.0
21,TSLA,20211206.0,0.0,0.0
22,TMUS,20211206.0,0.0,-0.296
23,NVDA,20211206.0,0.0,-0.296
24,PYPL,20211206.0,0.0,0.6166
25,TSLA,20211206.0,0.0,0.0
26,TMUS,20211206.0,0.0,0.0
27,NVDA,20211206.0,0.0,0.0
28,FAST,20211206.0,0.0,0.3802
29,PYPL,20211206.0,0.0,0.0
30,NVDA,20211206.0,0.0,0.4939
31,TSLA,20211206.0,0.0,0.0
32,ORLY,20211206.0,0.0,0.0
33,BIDU,20211206.0,0.0,0.4767
34,AAL,20211206.0,0.0,0.9035
35,MU,20211206.0,0.0,0.7865
36,TSLA,20211206.0,0.0,0.0
37,NVDA,20211206.0,0.0,0.6249
38,TSLA,20211206.0,0.0,0.0
39,NVDA,20211206.0,0.0,0.0
40,AAPL,20211206.0,0.0,0.0
41,AAL,20211206.0,0.0,0.4404
42,TSLA,20211206.0,0.0,-0.6204
43,TSLA,20211206.0,0.0,0.0
44,TSLA,20211206.0,0.0,0.0
45,NVDA,20211206.0,0.0,0.4404
46,TSLA,20211206.0,0.0,0.0
47,BIDU,20211206.0,0.0,0.34
48,STX,20211206.0,0.0,0.3818
49,MSFT,20211206.0,0.0,0.4404
50,MSFT,20211206.0,0.0,0.0
51,TSLA,20211206.0,0.0,-0.1511
52,TSLA,20211206.0,0.0,0.0
53,AAPL,20211206.0,0.0,-0.8225
54,AMAT,20211206.0,0.0,0.0
55,TSLA,20211206.0,0.0,0.0
56,EBAY,20211206.0,0.0,0.0
57,QCOM,20211206.0,0.0,0.0
58,AAPL,20211206.0,0.0,-0.8225
59,AAPL,20211206.0,0.0,-0.8225
60,BBBY,20211206.0,0.0,-0.0644
61,TSLA,20211206.0,0.0,0.0
62,ORLY,20211206.0,0.0,0.0
63,TSLA,20211206.0,0.0,0.0
64,TSLA,20211206.0,0.0,0.0
