,stock,Date,Hour,compound
0,TSLA,20211208.0,0.0,0.4215
1,AAPL,20211208.0,0.0,0.8779
2,TSLA,20211208.0,0.0,0.8779
3,PYPL,20211208.0,0.0,0.0
4,TSLA,20211208.0,0.0,0.0
5,AAPL,20211208.0,0.0,0.6369
6,FAST,20211208.0,0.0,0.3802
7,TSLA,20211208.0,0.0,0.6486
8,JD,20211208.0,0.0,0.1779
9,AAPL,20211208.0,0.0,0.0
10,FB,20211208.0,0.0,0.0
11,TSLA,20211208.0,0.0,0.0
12,MSFT,20211208.0,0.0,0.0
13,TSLA,20211208.0,0.0,0.0
14,AAPL,20211208.0,0.0,0.0
15,TSLA,20211208.0,0.0,0.0
16,AAPL,20211208.0,0.0,0.34
17,AVGO,20211208.0,0.0,0.6124
18,AAPL,20211208.0,0.0,0.5859
19,AAPL,20211208.0,0.0,0.6369
20,NXPI,20211208.0,0.0,0.0
21,TSLA,20211208.0,0.0,-0.1027
22,AVGO,20211208.0,0.0,0.6124
23,FB,20211208.0,0.0,0.0
24,SBUX,20211208.0,0.0,0.7096
25,TSLA,20211208.0,0.0,0.0
26,AAPL,20211208.0,0.0,0.4404
27,AAPL,20211208.0,0.0,0.0
28,AAPL,20211208.0,0.0,0.5023
29,FAST,20211208.0,0.0,0.3802
30,FB,20211208.0,0.0,0.0
31,AAPL,20211208.0,0.0,0.0
32,BBBY,20211208.0,0.0,0.8102
33,TSLA,20211208.0,0.0,-0.25
34,AAPL,20211208.0,0.0,0.0
35,AAPL,20211208.0,0.0,-0.3535
36,AAPL,20211208.0,0.0,0.0
37,AAPL,20211208.0,0.0,0.0
38,TSLA,20211208.0,0.0,0.0772
39,TSLA,20211208.0,0.0,0.4588
40,TSLA,20211208.0,0.0,-0.296
41,AAPL,20211208.0,0.0,0.1027
42,AAPL,20211208.0,0.0,0.0
43,AAPL,20211208.0,0.0,0.0
44,FB,20211208.0,0.0,0.0
45,TSLA,20211208.0,0.0,0.4404
46,AAPL,20211208.0,0.0,0.1027
47,AAPL,20211208.0,0.0,0.7027
48,TSLA,20211208.0,0.0,0.0
49,AAPL,20211208.0,0.0,0.0
50,NXPI,20211208.0,0.0,0.0
51,TSLA,20211208.0,0.0,0.0
52,AAL,20211208.0,0.0,0.4404
53,CSCO,20211208.0,0.0,0.4404
54,AAPL,20211208.0,0.0,0.4215
55,BIDU,20211208.0,0.0,0.0
56,AAPL,20211208.0,0.0,0.0
57,SBUX,20211208.0,0.0,0.5399
58,TSLA,20211208.0,0.0,0.0
59,FAST,20211208.0,0.0,0.3802
60,AAPL,20211208.0,0.0,-0.8225
61,TSLA,20211208.0,0.0,0.0
62,AAL,20211208.0,0.0,0.4939
63,AAPL,20211208.0,0.0,0.5994
64,AAPL,20211208.0,0.0,-0.8225
65,AAPL,20211208.0,0.0,0.3818
66,BIDU,20211208.0,0.0,0.0
67,TSLA,20211208.0,0.0,0.0
68,AAPL,20211208.0,0.0,0.0
69,GOOG,20211208.0,0.0,0.0
70,AAPL,20211208.0,0.0,0.0
71,PYPL,20211208.0,0.0,0.0
72,TSLA,20211208.0,0.0,0.4404
73,AAPL,20211208.0,0.0,0.0
74,AMAT,20211208.0,0.0,0.0
75,NFLX,20211208.0,0.0,0.0
76,FB,20211208.0,0.0,0.6124
77,GOOG,20211208.0,0.0,0.0
78,NVDA,20211208.0,0.0,0.128
79,TSLA,20211208.0,1.0,0.4754
80,AAPL,20211208.0,1.0,0.4576
81,NVDA,20211208.0,1.0,0.4576
82,AAPL,20211208.0,1.0,0.3818
83,TSLA,20211208.0,1.0,0.8779
84,AAPL,20211208.0,1.0,0.8779
85,AAPL,20211208.0,1.0,0.0
86,TSLA,20211208.0,1.0,0.1531
87,NVDA,20211208.0,1.0,0.0
88,FAST,20211208.0,1.0,0.3802
89,AAPL,20211208.0,1.0,0.0
90,AAPL,20211208.0,1.0,0.0
91,AAPL,20211208.0,1.0,0.0
92,STX,20211208.0,1.0,0.0
93,AAPL,20211208.0,1.0,-0.3491
94,AAPL,20211208.0,1.0,0.7906
95,AAPL,20211208.0,1.0,0.0
96,PYPL,20211208.0,1.0,0.0
97,PYPL,20211208.0,1.0,0.0
98,STX,20211208.0,1.0,0.4019
99,AAPL,20211208.0,1.0,0.0
100,TSLA,20211208.0,1.0,0.0
101,AAPL,20211208.0,1.0,0.0
102,PYPL,20211208.0,1.0,0.6597
103,AAPL,20211208.0,1.0,0.0
104,AAPL,20211208.0,1.0,0.0
105,AAPL,20211208.0,1.0,0.0
106,AVGO,20211208.0,1.0,0.0
107,AVGO,20211208.0,1.0,0.0
108,JD,20211208.0,1.0,0.6124
109,AAPL,20211208.0,1.0,0.0
110,AMAT,20211208.0,1.0,0.0
111,NFLX,20211208.0,1.0,0.0
112,TSLA,20211208.0,1.0,0.1531
113,AAPL,20211208.0,1.0,0.0
114,AAPL,20211208.0,1.0,0.0
115,NVDA,20211208.0,1.0,-0.4648
116,QCOM,20211208.0,1.0,-0.4648
117,AAPL,20211208.0,1.0,0.0
118,TSLA,20211208.0,1.0,0.0
119,AAPL,20211208.0,1.0,0.5106
120,TSLA,20211208.0,1.0,0.0
121,AAPL,20211208.0,1.0,0.0
122,AAPL,20211208.0,1.0,0.5983
123,TSLA,20211208.0,1.0,-0.7184
124,TSLA,20211208.0,1.0,-0.7184
125,NFLX,20211208.0,1.0,0.4588
126,NFLX,20211208.0,1.0,0.4588
127,TSLA,20211208.0,1.0,0.0
128,AAPL,20211208.0,1.0,0.0
129,TSLA,20211208.0,1.0,0.4588
130,TSLA,20211208.0,1.0,0.6124
131,TSLA,20211208.0,1.0,0.6124
132,TSLA,20211208.0,2.0,0.0
133,TSLA,20211208.0,2.0,0.8779
134,AAPL,20211208.0,2.0,0.8779
135,TSLA,20211208.0,2.0,0.0
136,FAST,20211208.0,2.0,0.3802
137,NVDA,20211208.0,2.0,0.0772
138,TSLA,20211208.0,2.0,0.296
139,FAST,20211208.0,2.0,0.3802
140,AAPL,20211208.0,2.0,0.0
141,NVDA,20211208.0,2.0,0.0
142,FB,20211208.0,2.0,0.0
143,QCOM,20211208.0,2.0,0.0
144,NFLX,20211208.0,2.0,0.4019
145,AAPL,20211208.0,2.0,0.0
146,TSLA,20211208.0,2.0,0.0
147,STX,20211208.0,2.0,-0.34
148,GOOG,20211208.0,2.0,0.0
149,QCOM,20211208.0,2.0,0.0
150,TSLA,20211208.0,2.0,0.0
151,AAPL,20211208.0,2.0,0.0
152,NVDA,20211208.0,2.0,0.0
