,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,index,prev_label,prev_rate,Adj Close
0,20211124,124.88999938964844,125.6500015258789,124.55999755859375,125.08000183105469,1421700.0,0.0,0.0,PAYX,False,-0.00310830784931949,
1,20211124,89.47000122070312,90.12000274658203,88.80000305175781,89.56999969482422,944400.0,0.0,0.0,BMRN,False,-0.0024501750580234183,
2,20211124,60.709999084472656,61.0099983215332,60.310001373291016,60.88999938964844,2704200.0,0.0,0.0,FAST,False,-0.0006565060779089774,
3,20211124,148.38999938964844,149.1300048828125,145.80999755859375,149.00999450683594,6185900.0,0.24,0.0,AMAT,True,0.0022195443052940244,
4,20211124,1080.3900146484375,1132.77001953125,1062.0,1116.0,22560200.0,0.0,0.0,TSLA,True,0.006284744794100806,
5,20211124,38.939998626708984,38.970001220703125,38.36000061035156,38.5,2677500.0,0.0,0.0,FOXA,False,-0.016100205747977495,
6,20211124,366.9800109863281,366.9800109863281,361.1000061035156,365.55999755859375,1112600.0,0.0,0.0,ILMN,False,-0.0004921328828873932,
7,20211124,146.27000427246094,149.3699951171875,143.5,146.61000061035156,3758500.0,0.0,0.0,DLTR,True,0.013129664904523174,
8,20211124,217.0,230.3300018310547,217.0,230.0500030517578,2254400.0,0.0,0.0,XLNX,True,0.04449490602387202,
9,20211124,2927.0,2940.0,2903.97998046875,2934.35009765625,823200.0,0.0,0.0,GOOG,False,-0.00026908254828742476,
10,20211124,216.60000610351562,221.22000122070312,214.32000732421875,221.02999877929688,1630900.0,0.0,0.0,NXPI,True,0.008716701828547807,
11,20211124,401.4599914550781,409.9700012207031,400.3699951171875,409.55999755859375,367900.0,0.0,0.0,ULTA,True,0.0015406179397361964,
12,20211124,661.5,684.6500244140625,659.6799926757812,684.0,1715100.0,0.0,0.0,INTU,True,0.01993647021433794,
13,20211124,651.3800048828125,656.0,645.5499877929688,648.1799926757812,545100.0,0.0,0.0,REGN,False,-0.001755705408085889,
14,20211124,74.01000213623047,74.33999633789062,73.05000305175781,73.48999786376953,2170600.0,0.0,0.0,CERN,False,-0.005951608813606968,
15,20211124,79.97000122070312,80.94000244140625,79.54000091552734,80.73999786376953,2205600.0,0.0,0.0,CTSH,False,-0.00024770024680278215,
16,20211124,234.9600067138672,235.8000030517578,232.47000122070312,234.3699951171875,1511100.0,0.0,0.0,ADP,False,-0.007495571597509407,
17,20211124,55.150001525878906,55.75,55.150001525878906,55.540000915527344,19328700.0,0.0,0.0,CSCO,True,0.004339994245532545,
18,20211124,128.25,128.57000732421875,124.80999755859375,126.6500015258789,2851100.0,0.0,0.0,EA,False,-0.01370611390107609,
19,20211124,61.84000015258789,61.84000015258789,60.75,60.90999984741211,9681500.0,0.0,0.0,ATVI,False,-0.013922625934568401,
20,20211124,25.530000686645508,25.559999465942383,25.06999969482422,25.170000076293945,3788900.0,0.0,0.0,DISCA,False,-0.01679688667063584,
21,20211124,553.22998046875,559.0800170898438,547.3900146484375,558.72998046875,1208400.0,0.0,0.0,AVGO,True,0.006503072098493626,
22,20211124,101.18000030517578,101.73999786376953,100.5,101.04000091552734,1644700.0,0.0,0.0,STX,False,-0.005316016005054418,
23,20211124,115.01000213623047,115.37999725341797,113.58000183105469,114.4800033569336,3552700.0,0.0,0.0,TMUS,False,-0.008487751042004422,
24,20211124,545.5399780273438,550.8300170898438,543.3200073242188,549.72998046875,2316400.0,0.0,0.0,COST,True,0.00819787004927498,
25,20211124,84.75,87.16000366210938,84.61000061035156,86.20999908447266,21666100.0,0.0,0.0,MU,True,0.009366530711415775,
26,20211124,71.16795419833784,72.69404929822781,70.72908200074258,72.47461700439453,4675200.0,0.0,0.0,EBAY,True,0.014096305592575402,
27,20211124,19.329999923706055,19.549999237060547,19.06999969482422,19.459999084472656,21323300.0,0.0,0.0,AAL,False,-0.0005136224568316636,
28,20211124,655.8300170898438,668.8699951171875,647.1400146484375,668.3200073242188,2426800.0,0.0,0.0,ADBE,True,0.004750788242335897,
29,20211124,160.75,162.13999938964844,159.63999938964844,161.94000244140625,69463600.0,0.0,0.0,AAPL,True,0.0032835559585659745,
30,20211124,22.079999923706055,22.350000381469727,21.899999618530273,22.34000015258789,1611000.0,0.0,0.0,MAT,True,0.0,
31,20211124,60.400001525878906,60.939998626708984,59.84000015258789,60.81999969482422,365300.0,0.0,0.0,SRCL,True,0.003961668149810172,
32,20211124,111.61000061035156,112.2699966430664,110.51000213623047,111.58000183105469,1004800.0,0.0,0.0,CHKP,True,8.964897604936315e-05,
33,20211124,112.15037631406314,115.01451491450949,110.74326126214054,113.41778564453125,2418300.0,0.0,0.0,NTES,True,0.0187343305797527,
34,20211124,113.41000366210938,114.26000213623047,113.08000183105469,113.97000122070312,4464300.0,0.0,0.0,SBUX,True,0.0034336976876311784,
35,20211124,33.060001373291016,34.060001373291016,32.79999923706055,33.75,2365300.0,0.0,0.0,DISH,True,0.018714123510290528,
36,20211124,112.08000183105469,113.20999908447266,111.61000061035156,112.7699966430664,1097600.0,0.0,0.0,AKAM,True,0.008676149953766416,
37,20211124,35.209999084472656,35.33000183105469,34.86000061035156,35.189998626708984,7058200.0,0.4,0.0,KHC,False,-0.006493600904929715,
38,20211124,204.3000030517578,205.27999877929688,202.9499969482422,203.97000122070312,1699800.0,0.0,0.0,AMGN,False,-0.0027379727274043017,
39,20211124,28.68000030517578,28.790000915527344,28.329999923706055,28.450000762939453,1994000.0,0.0,0.0,LBTYK,False,-0.0052447418366980145,
