,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,index,prev_label,prev_rate
0,20211206,56.70000076293945,57.165000915527344,56.46500015258789,56.959999084472656,22521803,0,0,CSCO,True,0.012982385704769566
1,20211206,27.6200008392334,28.145000457763672,27.549999237060547,27.75,2131189,0,0,LBTYK,True,0.013143505599624742
2,20211206,203.72999572753906,206.8800048828125,203.0500030517578,205.05999755859375,1855760,0,0,VRTX,True,0.006133163313740951
3,20211206,69.45999908447266,70.79499816894531,69.42500305175781,69.5,6637198,0,0,GILD,False,-0.0008625296247776771
4,20211206,33.970001220703125,34.36000061035156,33.77000045776367,33.91999816894531,945013,0,0,FOX,True,0.011329673316796155
5,20211206,150.02000427246094,153.3699951171875,148.0,152.4199981689453,1689294,0,0,SWKS,True,0.02014586997563455
6,20211206,688.1099853515625,693.0900268554688,669.6900024414062,672.9500122070312,908414,0,0,CHTR,False,-0.009347822317159811
7,20211206,46.88999938964844,48.7599983215332,46.75,48.29999923706055,8982017,0,0,WBA,True,0.038039985046189564
8,20211206,31.790000915527344,32.56999969482422,31.640100479125977,32.22999954223633,2711238,0,0,DISH,True,0.03202049358494456
9,20211206,57.95000076293945,58.79999923706055,57.86000061035156,58.08000183105469,389455,0,0,SRCL,True,0.013082155521469699
10,20211206,617.469970703125,625.9000244140625,605.7249755859375,622.0399780273438,2998684,0,0,ADBE,True,0.008937032210341159
11,20211206,383.7099914550781,398.093994140625,381.10101318359375,390.0199890136719,1127195,0,0,ULTA,True,0.029592649421413913
12,20211206,532.25,536.0549926757812,527.5701293945312,533.2000122070312,2195027,0,0,COST,True,0.008072938934032804
13,20211206,60.68000030517578,61.720001220703125,60.68000030517578,61.41999816894531,5897860,0,0,MDLZ,True,0.019249915030243155
14,20211206,72.22000122070312,73.30999755859375,71.70999908447266,72.98999786376953,2043094,0,0,CERN,True,0.01841774422419584
15,20211206,60.790000915527344,62.13999938964844,60.529998779296875,62.0,4950662,0,0,FAST,True,0.031099266566891156
16,20211206,104.73999786376953,105.37000274658203,101.63400268554688,103.58999633789062,1889548,0,0,STX,False,-0.017265982933202088
17,20211206,33.88999938964844,34.63999938964844,33.869998931884766,34.27000045776367,9628161,0,0,KHC,True,0.01872773720409447
18,20211206,109.26000213623047,112.69999694824219,109.12000274658203,112.27999877929688,2147086,0,0,CHKP,True,0.027640459308255674
19,20211206,67.12590026855469,67.13580322265625,65.54000091552734,66.06999969482422,6408685,0,0,EBAY,False,-0.014616007641000421
20,20211206,112.01000213623047,114.16999816894531,111.7261962890625,113.36000061035156,8094984,0,0,SBUX,True,0.019057917900882203
21,20211206,649.989990234375,652.0599975585938,639.530029296875,645.3400268554688,1681496,0,0,INTU,False,-0.004043451800021797
22,20211206,84.5999984741211,85.87999725341797,83.94499969482422,85.70999908447266,1496775,0,0,MNST,True,0.024014363315609195
23,20211206,195.1699981689453,195.25,189.75999450683594,194.61000061035156,3997878,0,0,TXN,True,0.006360511410083141
24,20211206,221.64999389648438,223.476806640625,220.97999572753906,221.91000366210938,876197,0,0,VRSK,True,0.001173064618925415
25,20211206,259.5299987792969,267.82000732421875,254.33999633789062,265.55999755859375,2199660,0,0,ADSK,True,0.0252490495804039
26,20211206,15.055000305175781,15.196999549865723,14.989999771118164,15.029999732971191,6351267,0,0,VOD,True,0.02036661235967132
27,20211206,159.10000610351562,169.50999450683594,157.58999633789062,166.07000732421875,3063463,0,0,EXPE,True,0.06742515342399356
28,20211206,86.30000305175781,88.31999969482422,86.08000183105469,87.61000061035156,1721182,0,0,PCAR,True,0.02264506224898561
29,20211206,57.810001373291016,58.279998779296875,55.900001525878906,57.060001373291016,2938154,0,0,WDC,False,-0.007997202378508823
30,20211206,183.41000366210938,186.07000732421875,179.1999969482422,184.86000061035156,13257078,0,0,PYPL,True,0.005056314748022986
31,20211206,136.25,147.8000030517578,136.1199951171875,147.64999389648438,4891970,0,0,BIDU,True,0.0746778845069925
32,20211206,323.95001220703125,327.4200134277344,319.2300109863281,326.19000244140625,29920303,0,0,MSFT,True,0.009844873470294752
33,20211206,99.80999755859375,104.52999877929688,98.06999969482422,104.08000183105469,4208845,0,0,NTES,True,0.04027984664040518
34,20211206,145.781494140625,148.3614044189453,141.02000427246094,147.3800048828125,8541847,0,0,AMAT,True,0.010628835166260947
35,20211206,81.9000015258789,84.95999908447266,81.15499877929688,84.23999786376953,954721,0,0,BMRN,True,0.015551548679769787
36,20211206,57.529998779296875,58.439998626708984,57.2400016784668,58.09000015258789,9382711,0,0,ATVI,True,0.012726630656705182
37,20211206,127.44000244140625,127.80999755859375,124.90499877929688,126.30999755859375,2587793,0,0,EA,True,0.008302075065034394
38,20211206,227.8000030517578,228.3090057373047,217.42999267578125,224.27999877929688,2161098,0,0,NXPI,False,-0.012504387103501245
39,20211206,298.79998779296875,302.3999938964844,280.3800048828125,300.3699951171875,65738633,0,0,NVDA,False,-0.02137294404305173
40,20211206,17.979999542236328,19.1382999420166,17.700000762939453,18.579999923706055,3044111,0,0,BBBY,True,0.040313510008347056
41,20211206,66.02999877929688,66.4800033569336,64.36000061035156,65.01000213623047,1710204,0,0,INCY,False,-0.011705634803215435
42,20211206,71.87999725341797,73.12000274658203,71.36000061035156,72.88999938964844,1864518,0,0,HSIC,True,0.02431134961366275
43,20211206,52.20000076293945,53.314998626708984,52.060001373291016,52.349998474121094,19328988,0,0,CMCSA,True,0.011008105605674926
44,20211206,25.020000457763672,27.579999923706055,24.829999923706055,26.950000762939453,3773552,0,0,TRIP,True,0.08888891971472537
